# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1644491281161
# Cmd Line:	-g RandomGame -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_5_5_1.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
[1  1  1  1  1] :	[ 861 245 668 114 75 ]
[2  1  1  1  1] :	[ 8 885 10 185 293 ]
[3  1  1  1  1] :	[ 30 842 864 886 588 ]
[4  1  1  1  1] :	[ 189 440 359 584 534 ]
[5  1  1  1  1] :	[ 966 661 371 247 469 ]
[1  2  1  1  1] :	[ 703 248 328 558 726 ]
[2  2  1  1  1] :	[ 573 144 747 247 169 ]
[3  2  1  1  1] :	[ 328 110 708 505 46 ]
[4  2  1  1  1] :	[ 346 762 630 613 945 ]
[5  2  1  1  1] :	[ 250 794 250 905 575 ]
[1  3  1  1  1] :	[ 492 375 346 109 979 ]
[2  3  1  1  1] :	[ 464 499 698 384 912 ]
[3  3  1  1  1] :	[ 710 126 171 774 537 ]
[4  3  1  1  1] :	[ 586 112 488 546 868 ]
[5  3  1  1  1] :	[ 867 938 101 925 968 ]
[1  4  1  1  1] :	[ 266 318 987 267 853 ]
[2  4  1  1  1] :	[ 359 140 929 840 400 ]
[3  4  1  1  1] :	[ 602 633 317 953 534 ]
[4  4  1  1  1] :	[ 916 74 681 256 578 ]
[5  4  1  1  1] :	[ 443 505 264 600 242 ]
[1  5  1  1  1] :	[ 571 239 316 350 626 ]
[2  5  1  1  1] :	[ 539 453 724 430 350 ]
[3  5  1  1  1] :	[ 242 975 97 743 989 ]
[4  5  1  1  1] :	[ 731 709 366 397 141 ]
[5  5  1  1  1] :	[ 81 410 423 792 294 ]
[1  1  2  1  1] :	[ 797 676 225 546 207 ]
[2  1  2  1  1] :	[ 184 14 837 722 835 ]
[3  1  2  1  1] :	[ 54 274 368 8 326 ]
[4  1  2  1  1] :	[ 104 736 645 880 97 ]
[5  1  2  1  1] :	[ 251 553 222 584 341 ]
[1  2  2  1  1] :	[ 779 568 267 941 752 ]
[2  2  2  1  1] :	[ 715 903 310 245 322 ]
[3  2  2  1  1] :	[ 106 75 360 514 798 ]
[4  2  2  1  1] :	[ 827 463 609 307 312 ]
[5  2  2  1  1] :	[ 390 642 675 465 320 ]
[1  3  2  1  1] :	[ 108 565 136 423 2 ]
[2  3  2  1  1] :	[ 17 286 765 815 403 ]
[3  3  2  1  1] :	[ 905 964 610 176 632 ]
[4  3  2  1  1] :	[ 804 666 355 325 330 ]
[5  3  2  1  1] :	[ 507 293 394 953 278 ]
[1  4  2  1  1] :	[ 893 774 758 559 391 ]
[2  4  2  1  1] :	[ 810 492 696 744 164 ]
[3  4  2  1  1] :	[ 702 659 895 113 103 ]
[4  4  2  1  1] :	[ 231 494 237 519 61 ]
[5  4  2  1  1] :	[ 102 540 721 774 618 ]
[1  5  2  1  1] :	[ 516 7 817 371 553 ]
[2  5  2  1  1] :	[ 685 195 342 288 489 ]
[3  5  2  1  1] :	[ 597 59 275 502 669 ]
[4  5  2  1  1] :	[ 958 328 424 325 459 ]
[5  5  2  1  1] :	[ 476 841 87 524 282 ]
[1  1  3  1  1] :	[ 726 419 275 644 553 ]
[2  1  3  1  1] :	[ 860 49 874 264 598 ]
[3  1  3  1  1] :	[ 385 945 823 781 594 ]
[4  1  3  1  1] :	[ 382 244 490 933 118 ]
[5  1  3  1  1] :	[ 776 768 922 36 433 ]
[1  2  3  1  1] :	[ 550 5 618 117 627 ]
[2  2  3  1  1] :	[ 577 285 431 8 404 ]
[3  2  3  1  1] :	[ 550 648 187 555 95 ]
[4  2  3  1  1] :	[ 448 840 318 187 734 ]
[5  2  3  1  1] :	[ 424 962 707 289 11 ]
[1  3  3  1  1] :	[ 871 138 48 430 286 ]
[2  3  3  1  1] :	[ 540 511 456 846 459 ]
[3  3  3  1  1] :	[ 188 356 191 146 959 ]
[4  3  3  1  1] :	[ 566 88 256 994 673 ]
[5  3  3  1  1] :	[ 981 408 126 136 368 ]
[1  4  3  1  1] :	[ 585 639 383 119 408 ]
[2  4  3  1  1] :	[ 59 41 721 698 831 ]
[3  4  3  1  1] :	[ 20 440 625 765 112 ]
[4  4  3  1  1] :	[ 524 933 720 584 979 ]
[5  4  3  1  1] :	[ 409 311 952 836 807 ]
[1  5  3  1  1] :	[ 317 752 529 886 95 ]
[2  5  3  1  1] :	[ 692 781 102 533 968 ]
[3  5  3  1  1] :	[ 333 743 978 902 970 ]
[4  5  3  1  1] :	[ 3 151 313 567 542 ]
[5  5  3  1  1] :	[ 247 176 261 585 325 ]
[1  1  4  1  1] :	[ 227 495 517 600 95 ]
[2  1  4  1  1] :	[ 340 202 428 475 438 ]
[3  1  4  1  1] :	[ 6 636 593 933 574 ]
[4  1  4  1  1] :	[ 340 956 965 959 525 ]
[5  1  4  1  1] :	[ 930 642 631 508 228 ]
[1  2  4  1  1] :	[ 945 191 840 785 671 ]
[2  2  4  1  1] :	[ 409 345 838 340 301 ]
[3  2  4  1  1] :	[ 749 191 988 542 824 ]
[4  2  4  1  1] :	[ 869 909 452 19 313 ]
[5  2  4  1  1] :	[ 667 174 330 260 205 ]
[1  3  4  1  1] :	[ 414 550 298 437 311 ]
[2  3  4  1  1] :	[ 107 803 496 559 390 ]
[3  3  4  1  1] :	[ 692 718 936 888 915 ]
[4  3  4  1  1] :	[ 533 734 429 158 645 ]
[5  3  4  1  1] :	[ 438 537 546 287 183 ]
[1  4  4  1  1] :	[ 255 476 868 131 772 ]
[2  4  4  1  1] :	[ 844 55 943 845 90 ]
[3  4  4  1  1] :	[ 134 945 329 436 588 ]
[4  4  4  1  1] :	[ 403 78 650 921 583 ]
[5  4  4  1  1] :	[ 118 437 125 924 256 ]
[1  5  4  1  1] :	[ 331 664 661 230 555 ]
[2  5  4  1  1] :	[ 479 735 107 875 306 ]
[3  5  4  1  1] :	[ 690 854 898 576 488 ]
[4  5  4  1  1] :	[ 957 630 231 900 457 ]
[5  5  4  1  1] :	[ 355 91 182 57 53 ]
[1  1  5  1  1] :	[ 817 233 785 658 60 ]
[2  1  5  1  1] :	[ 364 228 418 162 47 ]
[3  1  5  1  1] :	[ 548 490 638 789 337 ]
[4  1  5  1  1] :	[ 728 710 338 840 253 ]
[5  1  5  1  1] :	[ 376 964 262 59 842 ]
[1  2  5  1  1] :	[ 521 647 359 673 245 ]
[2  2  5  1  1] :	[ 329 821 665 85 16 ]
[3  2  5  1  1] :	[ 154 292 423 421 693 ]
[4  2  5  1  1] :	[ 539 649 714 848 89 ]
[5  2  5  1  1] :	[ 973 218 195 108 257 ]
[1  3  5  1  1] :	[ 478 53 346 388 272 ]
[2  3  5  1  1] :	[ 152 847 919 155 792 ]
[3  3  5  1  1] :	[ 356 266 874 544 404 ]
[4  3  5  1  1] :	[ 738 348 113 147 102 ]
[5  3  5  1  1] :	[ 931 456 248 143 382 ]
[1  4  5  1  1] :	[ 632 500 925 285 136 ]
[2  4  5  1  1] :	[ 404 51 665 668 650 ]
[3  4  5  1  1] :	[ 241 212 401 279 997 ]
[4  4  5  1  1] :	[ 803 784 315 925 35 ]
[5  4  5  1  1] :	[ 861 862 539 19 884 ]
[1  5  5  1  1] :	[ 938 24 67 721 816 ]
[2  5  5  1  1] :	[ 477 730 213 316 601 ]
[3  5  5  1  1] :	[ 341 132 216 703 362 ]
[4  5  5  1  1] :	[ 872 969 98 834 337 ]
[5  5  5  1  1] :	[ 975 726 715 721 931 ]
[1  1  1  2  1] :	[ 846 138 105 219 167 ]
[2  1  1  2  1] :	[ 497 768 833 684 789 ]
[3  1  1  2  1] :	[ 179 117 778 815 430 ]
[4  1  1  2  1] :	[ 432 838 711 738 956 ]
[5  1  1  2  1] :	[ 799 744 256 983 500 ]
[1  2  1  2  1] :	[ 485 104 473 678 280 ]
[2  2  1  2  1] :	[ 984 96 779 383 183 ]
[3  2  1  2  1] :	[ 704 477 272 61 962 ]
[4  2  1  2  1] :	[ 947 407 386 885 506 ]
[5  2  1  2  1] :	[ 165 951 120 159 749 ]
[1  3  1  2  1] :	[ 3 165 988 622 893 ]
[2  3  1  2  1] :	[ 117 72 420 288 152 ]
[3  3  1  2  1] :	[ 798 377 931 756 36 ]
[4  3  1  2  1] :	[ 966 724 562 590 889 ]
[5  3  1  2  1] :	[ 350 790 791 518 223 ]
[1  4  1  2  1] :	[ 495 853 632 878 205 ]
[2  4  1  2  1] :	[ 836 591 228 95 699 ]
[3  4  1  2  1] :	[ 99 270 522 896 377 ]
[4  4  1  2  1] :	[ 987 632 440 855 123 ]
[5  4  1  2  1] :	[ 724 176 464 459 261 ]
[1  5  1  2  1] :	[ 237 237 56 720 311 ]
[2  5  1  2  1] :	[ 202 590 973 399 491 ]
[3  5  1  2  1] :	[ 603 496 199 158 981 ]
[4  5  1  2  1] :	[ 540 109 480 442 327 ]
[5  5  1  2  1] :	[ 136 387 145 419 637 ]
[1  1  2  2  1] :	[ 252 807 721 937 460 ]
[2  1  2  2  1] :	[ 858 943 343 80 227 ]
[3  1  2  2  1] :	[ 970 955 462 361 278 ]
[4  1  2  2  1] :	[ 16 785 915 456 191 ]
[5  1  2  2  1] :	[ 417 362 923 355 438 ]
[1  2  2  2  1] :	[ 460 113 907 848 113 ]
[2  2  2  2  1] :	[ 797 636 767 654 685 ]
[3  2  2  2  1] :	[ 425 426 25 145 874 ]
[4  2  2  2  1] :	[ 849 585 677 35 915 ]
[5  2  2  2  1] :	[ 580 808 20 926 357 ]
[1  3  2  2  1] :	[ 136 187 878 509 627 ]
[2  3  2  2  1] :	[ 4 421 40 665 399 ]
[3  3  2  2  1] :	[ 836 487 978 675 487 ]
[4  3  2  2  1] :	[ 730 323 545 853 826 ]
[5  3  2  2  1] :	[ 741 927 675 816 268 ]
[1  4  2  2  1] :	[ 463 742 912 186 573 ]
[2  4  2  2  1] :	[ 545 829 344 45 359 ]
[3  4  2  2  1] :	[ 368 576 765 315 476 ]
[4  4  2  2  1] :	[ 955 247 679 181 496 ]
[5  4  2  2  1] :	[ 7 861 736 904 686 ]
[1  5  2  2  1] :	[ 630 287 165 68 675 ]
[2  5  2  2  1] :	[ 119 69 752 869 346 ]
[3  5  2  2  1] :	[ 267 343 588 452 80 ]
[4  5  2  2  1] :	[ 418 977 699 73 459 ]
[5  5  2  2  1] :	[ 351 815 382 155 768 ]
[1  1  3  2  1] :	[ 745 850 182 419 486 ]
[2  1  3  2  1] :	[ 324 656 675 223 857 ]
[3  1  3  2  1] :	[ 923 491 992 173 267 ]
[4  1  3  2  1] :	[ 421 142 420 398 665 ]
[5  1  3  2  1] :	[ 665 206 316 418 346 ]
[1  2  3  2  1] :	[ 877 232 276 275 261 ]
[2  2  3  2  1] :	[ 768 627 948 404 578 ]
[3  2  3  2  1] :	[ 751 636 395 868 812 ]
