param n := 5;
set S[1] := 1 2 3 4 5;
set S[2] := 1 2 3 4 5;
set S[3] := 1 2 3 4 5;
set S[4] := 1 2 3 4 5;
set S[5] := 1 2 3 4 5;

param A := 
[*,1,1,1,1,1]  1 364 2 567 3 749 4 311 5 949
[*,2,1,1,1,1]  1 684 2 660 3 442 4 105 5 211
[*,3,1,1,1,1]  1 580 2 421 3 801 4 437 5 507
[*,4,1,1,1,1]  1 90 2 886 3 374 4 918 5 714
[*,5,1,1,1,1]  1 873 2 14 3 702 4 277 5 772
[*,1,2,1,1,1]  1 138 2 483 3 170 4 315 5 712
[*,2,2,1,1,1]  1 240 2 646 3 586 4 424 5 21
[*,3,2,1,1,1]  1 797 2 491 3 452 4 798 5 718
[*,4,2,1,1,1]  1 745 2 137 3 951 4 41 5 45
[*,5,2,1,1,1]  1 812 2 652 3 947 4 859 5 698
[*,1,3,1,1,1]  1 490 2 356 3 881 4 429 5 967
[*,2,3,1,1,1]  1 968 2 461 3 464 4 138 5 533
[*,3,3,1,1,1]  1 543 2 380 3 532 4 698 5 462
[*,4,3,1,1,1]  1 790 2 710 3 577 4 705 5 427
[*,5,3,1,1,1]  1 194 2 256 3 176 4 746 5 322
[*,1,4,1,1,1]  1 215 2 754 3 265 4 540 5 889
[*,2,4,1,1,1]  1 11 2 731 3 964 4 342 5 681
[*,3,4,1,1,1]  1 131 2 617 3 340 4 185 5 492
[*,4,4,1,1,1]  1 615 2 980 3 763 4 421 5 708
[*,5,4,1,1,1]  1 340 2 48 3 306 4 15 5 561
[*,1,5,1,1,1]  1 741 2 187 3 469 4 196 5 866
[*,2,5,1,1,1]  1 323 2 537 3 595 4 493 5 641
[*,3,5,1,1,1]  1 946 2 631 3 178 4 329 5 809
[*,4,5,1,1,1]  1 54 2 390 3 51 4 271 5 345
[*,5,5,1,1,1]  1 35 2 426 3 982 4 25 5 844
[*,1,1,2,1,1]  1 649 2 53 3 966 4 770 5 395
[*,2,1,2,1,1]  1 826 2 453 3 745 4 439 5 777
[*,3,1,2,1,1]  1 355 2 107 3 729 4 56 5 49
[*,4,1,2,1,1]  1 769 2 31 3 721 4 433 5 720
[*,5,1,2,1,1]  1 608 2 534 3 654 4 779 5 871
[*,1,2,2,1,1]  1 184 2 992 3 596 4 304 5 291
[*,2,2,2,1,1]  1 662 2 794 3 520 4 65 5 174
[*,3,2,2,1,1]  1 787 2 778 3 487 4 288 5 244
[*,4,2,2,1,1]  1 819 2 77 3 542 4 412 5 481
[*,5,2,2,1,1]  1 753 2 758 3 483 4 127 5 128
[*,1,3,2,1,1]  1 974 2 991 3 588 4 556 5 743
[*,2,3,2,1,1]  1 791 2 945 3 647 4 781 5 482
[*,3,3,2,1,1]  1 201 2 508 3 596 4 332 5 618
[*,4,3,2,1,1]  1 916 2 758 3 583 4 243 5 774
[*,5,3,2,1,1]  1 209 2 782 3 941 4 654 5 119
[*,1,4,2,1,1]  1 191 2 77 3 983 4 560 5 622
[*,2,4,2,1,1]  1 838 2 426 3 485 4 72 5 80
[*,3,4,2,1,1]  1 323 2 266 3 293 4 468 5 639
[*,4,4,2,1,1]  1 389 2 127 3 686 4 698 5 698
[*,5,4,2,1,1]  1 702 2 391 3 169 4 970 5 825
[*,1,5,2,1,1]  1 659 2 144 3 501 4 803 5 689
[*,2,5,2,1,1]  1 900 2 813 3 661 4 581 5 879
[*,3,5,2,1,1]  1 546 2 212 3 150 4 715 5 111
[*,4,5,2,1,1]  1 739 2 827 3 677 4 669 5 87
[*,5,5,2,1,1]  1 902 2 719 3 611 4 824 5 525
[*,1,1,3,1,1]  1 452 2 739 3 754 4 136 5 730
[*,2,1,3,1,1]  1 16 2 463 3 246 4 230 5 877
