# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1652188567361
# Cmd Line:	-g RandomGame -players 3 -actions 10 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_3_10_6.txt
# Players:	3
# Actions:	10 10 10
# players:	3
# actions:	[10]
[1  1  1] :	[ 904 658 4 ]
[2  1  1] :	[ 305 964 234 ]
[3  1  1] :	[ 10 512 659 ]
[4  1  1] :	[ 365 181 996 ]
[5  1  1] :	[ 674 704 272 ]
[6  1  1] :	[ 845 758 703 ]
[7  1  1] :	[ 826 785 200 ]
[8  1  1] :	[ 79 222 627 ]
[9  1  1] :	[ 74 503 755 ]
[10  1  1] :	[ 881 119 88 ]
[1  2  1] :	[ 569 54 419 ]
[2  2  1] :	[ 584 1 54 ]
[3  2  1] :	[ 488 977 270 ]
[4  2  1] :	[ 13 972 369 ]
[5  2  1] :	[ 547 553 961 ]
[6  2  1] :	[ 574 132 230 ]
[7  2  1] :	[ 796 888 841 ]
[8  2  1] :	[ 411 351 859 ]
[9  2  1] :	[ 728 340 993 ]
[10  2  1] :	[ 704 973 527 ]
[1  3  1] :	[ 807 208 79 ]
[2  3  1] :	[ 870 240 582 ]
[3  3  1] :	[ 548 117 974 ]
[4  3  1] :	[ 742 819 382 ]
[5  3  1] :	[ 745 936 622 ]
[6  3  1] :	[ 414 800 447 ]
[7  3  1] :	[ 788 255 874 ]
[8  3  1] :	[ 358 261 716 ]
[9  3  1] :	[ 879 3 269 ]
[10  3  1] :	[ 841 993 786 ]
[1  4  1] :	[ 574 154 470 ]
[2  4  1] :	[ 493 328 3 ]
[3  4  1] :	[ 269 110 275 ]
[4  4  1] :	[ 800 591 410 ]
[5  4  1] :	[ 955 246 465 ]
[6  4  1] :	[ 257 144 952 ]
[7  4  1] :	[ 836 655 961 ]
[8  4  1] :	[ 951 996 70 ]
[9  4  1] :	[ 930 746 794 ]
[10  4  1] :	[ 431 862 440 ]
[1  5  1] :	[ 764 526 553 ]
[2  5  1] :	[ 425 241 229 ]
[3  5  1] :	[ 171 863 536 ]
[4  5  1] :	[ 83 682 900 ]
[5  5  1] :	[ 469 312 836 ]
[6  5  1] :	[ 145 901 231 ]
[7  5  1] :	[ 17 456 425 ]
[8  5  1] :	[ 394 763 481 ]
[9  5  1] :	[ 52 521 853 ]
[10  5  1] :	[ 721 530 419 ]
[1  6  1] :	[ 639 114 939 ]
[2  6  1] :	[ 644 774 254 ]
[3  6  1] :	[ 339 631 507 ]
[4  6  1] :	[ 399 531 349 ]
[5  6  1] :	[ 543 381 437 ]
[6  6  1] :	[ 355 805 360 ]
[7  6  1] :	[ 246 250 527 ]
[8  6  1] :	[ 119 193 160 ]
[9  6  1] :	[ 824 273 778 ]
[10  6  1] :	[ 834 236 326 ]
[1  7  1] :	[ 307 345 793 ]
[2  7  1] :	[ 968 870 208 ]
[3  7  1] :	[ 818 418 246 ]
[4  7  1] :	[ 899 39 866 ]
[5  7  1] :	[ 787 396 569 ]
[6  7  1] :	[ 287 9 390 ]
[7  7  1] :	[ 950 989 516 ]
[8  7  1] :	[ 222 823 264 ]
[9  7  1] :	[ 833 436 671 ]
[10  7  1] :	[ 413 962 105 ]
[1  8  1] :	[ 776 255 748 ]
[2  8  1] :	[ 691 765 922 ]
[3  8  1] :	[ 648 288 81 ]
[4  8  1] :	[ 407 129 529 ]
[5  8  1] :	[ 279 837 712 ]
[6  8  1] :	[ 323 319 911 ]
[7  8  1] :	[ 632 840 929 ]
[8  8  1] :	[ 268 194 853 ]
[9  8  1] :	[ 639 826 156 ]
[10  8  1] :	[ 621 360 277 ]
[1  9  1] :	[ 903 991 186 ]
[2  9  1] :	[ 8 740 286 ]
[3  9  1] :	[ 692 674 372 ]
[4  9  1] :	[ 856 128 535 ]
[5  9  1] :	[ 521 872 797 ]
[6  9  1] :	[ 464 675 56 ]
[7  9  1] :	[ 365 218 164 ]
[8  9  1] :	[ 565 28 153 ]
[9  9  1] :	[ 124 172 265 ]
[10  9  1] :	[ 87 398 219 ]
[1  10  1] :	[ 354 421 121 ]
[2  10  1] :	[ 551 994 932 ]
[3  10  1] :	[ 551 803 94 ]
[4  10  1] :	[ 892 670 944 ]
[5  10  1] :	[ 281 295 246 ]
[6  10  1] :	[ 944 731 994 ]
[7  10  1] :	[ 335 810 695 ]
[8  10  1] :	[ 511 624 989 ]
[9  10  1] :	[ 489 138 661 ]
[10  10  1] :	[ 313 772 653 ]
[1  1  2] :	[ 766 272 655 ]
[2  1  2] :	[ 720 313 336 ]
[3  1  2] :	[ 570 513 195 ]
[4  1  2] :	[ 510 822 666 ]
[5  1  2] :	[ 468 44 478 ]
[6  1  2] :	[ 967 596 484 ]
[7  1  2] :	[ 541 525 228 ]
[8  1  2] :	[ 809 382 350 ]
[9  1  2] :	[ 171 469 69 ]
[10  1  2] :	[ 334 61 541 ]
[1  2  2] :	[ 488 690 244 ]
[2  2  2] :	[ 46 182 754 ]
[3  2  2] :	[ 560 734 414 ]
[4  2  2] :	[ 927 40 260 ]
[5  2  2] :	[ 245 211 16 ]
[6  2  2] :	[ 763 368 470 ]
[7  2  2] :	[ 759 267 13 ]
[8  2  2] :	[ 29 596 248 ]
[9  2  2] :	[ 492 720 352 ]
[10  2  2] :	[ 921 861 796 ]
[1  3  2] :	[ 130 529 718 ]
[2  3  2] :	[ 400 643 964 ]
[3  3  2] :	[ 402 447 787 ]
[4  3  2] :	[ 554 697 826 ]
[5  3  2] :	[ 683 748 696 ]
[6  3  2] :	[ 813 151 724 ]
[7  3  2] :	[ 656 474 495 ]
[8  3  2] :	[ 660 515 605 ]
[9  3  2] :	[ 474 513 244 ]
[10  3  2] :	[ 454 588 688 ]
[1  4  2] :	[ 361 92 119 ]
[2  4  2] :	[ 891 720 757 ]
[3  4  2] :	[ 901 790 209 ]
[4  4  2] :	[ 954 471 872 ]
