# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644412805452
# Cmd Line:	-g CovariantGame -r -0.2 -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_5_5_2.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
# r:	-0.2
[1  1  1  1  1] :	[ 211 698 576 573 543 ]
[2  1  1  1  1] :	[ 330 419 608 292 534 ]
[3  1  1  1  1] :	[ 496 413 566 412 410 ]
[4  1  1  1  1] :	[ 488 544 332 645 353 ]
[5  1  1  1  1] :	[ 617 326 689 457 152 ]
[1  2  1  1  1] :	[ 586 355 441 499 569 ]
[2  2  1  1  1] :	[ 435 612 427 333 565 ]
[3  2  1  1  1] :	[ 281 330 742 174 821 ]
[4  2  1  1  1] :	[ 547 212 606 327 570 ]
[5  2  1  1  1] :	[ 456 566 562 278 319 ]
[1  3  1  1  1] :	[ 552 472 589 150 458 ]
[2  3  1  1  1] :	[ 626 479 567 522 305 ]
[3  3  1  1  1] :	[ 655 380 514 347 376 ]
[4  3  1  1  1] :	[ 333 784 230 545 360 ]
[5  3  1  1  1] :	[ 489 564 493 249 629 ]
[1  4  1  1  1] :	[ 368 360 618 618 309 ]
[2  4  1  1  1] :	[ 629 596 399 307 410 ]
[3  4  1  1  1] :	[ 692 651 470 298 272 ]
[4  4  1  1  1] :	[ 437 455 483 481 555 ]
[5  4  1  1  1] :	[ 423 528 403 448 510 ]
[1  5  1  1  1] :	[ 364 751 383 633 554 ]
[2  5  1  1  1] :	[ 566 197 556 448 447 ]
[3  5  1  1  1] :	[ 538 376 526 325 490 ]
[4  5  1  1  1] :	[ 415 528 399 352 639 ]
[5  5  1  1  1] :	[ 525 508 467 540 343 ]
[1  1  2  1  1] :	[ 480 502 577 460 348 ]
[2  1  2  1  1] :	[ 323 643 505 343 512 ]
[3  1  2  1  1] :	[ 444 300 549 579 401 ]
[4  1  2  1  1] :	[ 614 686 377 333 274 ]
[5  1  2  1  1] :	[ 644 403 414 476 725 ]
[1  2  2  1  1] :	[ 312 514 414 561 638 ]
[2  2  2  1  1] :	[ 662 466 562 373 394 ]
[3  2  2  1  1] :	[ 444 482 609 596 334 ]
[4  2  2  1  1] :	[ 457 378 714 292 592 ]
[5  2  2  1  1] :	[ 468 374 647 646 280 ]
[1  3  2  1  1] :	[ 347 520 675 515 345 ]
[2  3  2  1  1] :	[ 266 241 626 635 612 ]
[3  3  2  1  1] :	[ 545 333 442 620 360 ]
[4  3  2  1  1] :	[ 594 412 418 578 272 ]
[5  3  2  1  1] :	[ 485 347 562 657 398 ]
[1  4  2  1  1] :	[ 387 501 461 496 452 ]
[2  4  2  1  1] :	[ 582 655 576 444 264 ]
[3  4  2  1  1] :	[ 454 699 578 377 480 ]
[4  4  2  1  1] :	[ 460 562 498 370 436 ]
[5  4  2  1  1] :	[ 212 412 363 652 498 ]
[1  5  2  1  1] :	[ 412 542 584 331 489 ]
[2  5  2  1  1] :	[ 321 630 255 641 391 ]
[3  5  2  1  1] :	[ 792 512 551 295 456 ]
[4  5  2  1  1] :	[ 355 689 414 470 594 ]
[5  5  2  1  1] :	[ 605 186 565 716 566 ]
[1  1  3  1  1] :	[ 402 575 613 574 383 ]
[2  1  3  1  1] :	[ 608 416 512 421 347 ]
[3  1  3  1  1] :	[ 284 587 426 660 416 ]
[4  1  3  1  1] :	[ 669 728 230 157 499 ]
[5  1  3  1  1] :	[ 677 335 479 545 477 ]
[1  2  3  1  1] :	[ 472 535 487 451 551 ]
[2  2  3  1  1] :	[ 500 637 553 339 372 ]
[3  2  3  1  1] :	[ 558 561 546 560 117 ]
[4  2  3  1  1] :	[ 262 898 440 429 259 ]
[5  2  3  1  1] :	[ 598 605 314 375 607 ]
[1  3  3  1  1] :	[ 369 331 302 607 633 ]
[2  3  3  1  1] :	[ 526 448 477 575 295 ]
[3  3  3  1  1] :	[ 713 347 569 361 352 ]
[4  3  3  1  1] :	[ 471 489 425 538 558 ]
[5  3  3  1  1] :	[ 260 504 471 591 614 ]
[1  4  3  1  1] :	[ 542 420 397 517 543 ]
[2  4  3  1  1] :	[ 712 445 456 261 532 ]
[3  4  3  1  1] :	[ 411 577 498 388 508 ]
[4  4  3  1  1] :	[ 375 444 483 306 579 ]
[5  4  3  1  1] :	[ 286 341 657 560 524 ]
[1  5  3  1  1] :	[ 632 580 565 332 181 ]
[2  5  3  1  1] :	[ 472 602 383 686 381 ]
[3  5  3  1  1] :	[ 621 502 486 383 545 ]
[4  5  3  1  1] :	[ 566 238 479 640 483 ]
[5  5  3  1  1] :	[ 623 500 434 610 303 ]
[1  1  4  1  1] :	[ 357 630 414 160 404 ]
[2  1  4  1  1] :	[ 461 325 583 471 452 ]
[3  1  4  1  1] :	[ 683 417 429 286 535 ]
[4  1  4  1  1] :	[ 245 458 596 524 386 ]
[5  1  4  1  1] :	[ 222 739 383 646 529 ]
[1  2  4  1  1] :	[ 561 454 461 613 369 ]
[2  2  4  1  1] :	[ 493 339 139 707 478 ]
[3  2  4  1  1] :	[ 203 339 454 557 760 ]
[4  2  4  1  1] :	[ 637 608 196 427 397 ]
[5  2  4  1  1] :	[ 494 602 333 505 344 ]
[1  3  4  1  1] :	[ 565 337 447 592 649 ]
[2  3  4  1  1] :	[ 442 600 462 284 430 ]
[3  3  4  1  1] :	[ 483 180 490 418 627 ]
[4  3  4  1  1] :	[ 304 556 405 550 586 ]
[5  3  4  1  1] :	[ 262 516 547 363 484 ]
[1  4  4  1  1] :	[ 300 588 494 769 387 ]
[2  4  4  1  1] :	[ 434 456 555 410 649 ]
[3  4  4  1  1] :	[ 580 606 409 469 477 ]
[4  4  4  1  1] :	[ 604 679 581 165 347 ]
[5  4  4  1  1] :	[ 853 251 555 368 516 ]
[1  5  4  1  1] :	[ 667 412 352 363 418 ]
[2  5  4  1  1] :	[ 481 565 418 491 524 ]
[3  5  4  1  1] :	[ 477 598 430 487 394 ]
[4  5  4  1  1] :	[ 439 447 464 482 592 ]
[5  5  4  1  1] :	[ 457 287 471 378 644 ]
[1  1  5  1  1] :	[ 267 562 524 619 483 ]
[2  1  5  1  1] :	[ 338 676 540 447 454 ]
[3  1  5  1  1] :	[ 544 332 386 564 359 ]
[4  1  5  1  1] :	[ 289 419 441 579 935 ]
[5  1  5  1  1] :	[ 417 419 460 428 611 ]
[1  2  5  1  1] :	[ 409 360 466 630 371 ]
[2  2  5  1  1] :	[ 422 784 387 534 338 ]
[3  2  5  1  1] :	[ 607 405 567 363 494 ]
[4  2  5  1  1] :	[ 405 828 369 243 551 ]
[5  2  5  1  1] :	[ 474 464 429 657 473 ]
[1  3  5  1  1] :	[ 440 599 482 461 316 ]
[2  3  5  1  1] :	[ 169 592 580 531 458 ]
[3  3  5  1  1] :	[ 356 596 165 720 751 ]
[4  3  5  1  1] :	[ 413 556 305 682 533 ]
[5  3  5  1  1] :	[ 477 352 517 631 395 ]
[1  4  5  1  1] :	[ 671 249 398 757 454 ]
[2  4  5  1  1] :	[ 498 232 736 337 682 ]
[3  4  5  1  1] :	[ 397 433 535 637 399 ]
