# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644412813698
# Cmd Line:	-g CovariantGame -r -0.2 -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_5_5_5.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
# r:	-0.2
[1  1  1  1  1] :	[ 766 551 471 373 469 ]
[2  1  1  1  1] :	[ 224 784 636 421 677 ]
[3  1  1  1  1] :	[ 644 555 513 385 449 ]
[4  1  1  1  1] :	[ 658 627 663 403 347 ]
[5  1  1  1  1] :	[ 505 493 636 371 586 ]
[1  2  1  1  1] :	[ 798 317 485 732 315 ]
[2  2  1  1  1] :	[ 595 669 597 337 506 ]
[3  2  1  1  1] :	[ 608 480 371 592 513 ]
[4  2  1  1  1] :	[ 541 465 521 491 636 ]
[5  2  1  1  1] :	[ 738 442 427 373 813 ]
[1  3  1  1  1] :	[ 754 674 493 387 437 ]
[2  3  1  1  1] :	[ 384 473 534 833 509 ]
[3  3  1  1  1] :	[ 490 649 320 586 435 ]
[4  3  1  1  1] :	[ 389 469 620 421 768 ]
[5  3  1  1  1] :	[ 419 605 612 589 532 ]
[1  4  1  1  1] :	[ 401 554 672 567 571 ]
[2  4  1  1  1] :	[ 336 500 699 542 494 ]
[3  4  1  1  1] :	[ 583 605 413 632 532 ]
[4  4  1  1  1] :	[ 556 622 408 476 570 ]
[5  4  1  1  1] :	[ 590 476 502 197 1000 ]
[1  5  1  1  1] :	[ 591 640 514 520 682 ]
[2  5  1  1  1] :	[ 702 556 466 586 446 ]
[3  5  1  1  1] :	[ 492 531 441 565 720 ]
[4  5  1  1  1] :	[ 535 579 422 600 404 ]
[5  5  1  1  1] :	[ 474 535 634 690 420 ]
[1  1  2  1  1] :	[ 491 479 417 584 689 ]
[2  1  2  1  1] :	[ 554 584 552 665 273 ]
[3  1  2  1  1] :	[ 506 531 598 486 571 ]
[4  1  2  1  1] :	[ 623 428 505 602 385 ]
[5  1  2  1  1] :	[ 420 542 639 685 363 ]
[1  2  2  1  1] :	[ 610 640 484 282 513 ]
[2  2  2  1  1] :	[ 443 549 598 524 431 ]
