# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1644491382794
# Cmd Line:	-g RandomGame -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_5_5_9.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
[1  1  1  1  1] :	[ 461 540 246 399 30 ]
[2  1  1  1  1] :	[ 570 849 882 156 894 ]
[3  1  1  1  1] :	[ 634 786 515 904 617 ]
[4  1  1  1  1] :	[ 80 303 554 737 766 ]
[5  1  1  1  1] :	[ 834 532 148 122 129 ]
[1  2  1  1  1] :	[ 877 358 864 931 381 ]
[2  2  1  1  1] :	[ 438 331 309 529 575 ]
[3  2  1  1  1] :	[ 72 625 280 852 426 ]
[4  2  1  1  1] :	[ 470 896 243 515 840 ]
[5  2  1  1  1] :	[ 241 453 802 668 337 ]
[1  3  1  1  1] :	[ 431 834 629 816 90 ]
[2  3  1  1  1] :	[ 19 994 807 987 341 ]
[3  3  1  1  1] :	[ 200 185 553 722 675 ]
[4  3  1  1  1] :	[ 637 672 326 494 881 ]
[5  3  1  1  1] :	[ 360 488 298 505 551 ]
[1  4  1  1  1] :	[ 109 38 329 990 285 ]
[2  4  1  1  1] :	[ 45 883 594 666 83 ]
[3  4  1  1  1] :	[ 588 643 547 60 496 ]
[4  4  1  1  1] :	[ 659 951 295 972 815 ]
[5  4  1  1  1] :	[ 74 326 578 323 243 ]
[1  5  1  1  1] :	[ 486 453 293 231 692 ]
[2  5  1  1  1] :	[ 963 221 126 143 1000 ]
[3  5  1  1  1] :	[ 347 169 913 287 873 ]
[4  5  1  1  1] :	[ 945 767 290 213 42 ]
[5  5  1  1  1] :	[ 842 847 155 843 268 ]
[1  1  2  1  1] :	[ 410 178 442 157 898 ]
[2  1  2  1  1] :	[ 870 712 917 500 816 ]
[3  1  2  1  1] :	[ 525 233 420 125 670 ]
[4  1  2  1  1] :	[ 629 473 221 550 67 ]
[5  1  2  1  1] :	[ 645 421 903 544 227 ]
[1  2  2  1  1] :	[ 275 800 354 873 685 ]
[2  2  2  1  1] :	[ 981 201 18 285 119 ]
[3  2  2  1  1] :	[ 119 375 659 975 776 ]
[4  2  2  1  1] :	[ 893 553 520 509 398 ]
[5  2  2  1  1] :	[ 342 996 166 349 684 ]
[1  3  2  1  1] :	[ 611 655 578 444 987 ]
[2  3  2  1  1] :	[ 892 624 720 780 699 ]
[3  3  2  1  1] :	[ 281 16 872 105 290 ]
[4  3  2  1  1] :	[ 389 396 388 666 718 ]
[5  3  2  1  1] :	[ 413 175 41 59 466 ]
[1  4  2  1  1] :	[ 859 498 417 362 638 ]
[2  4  2  1  1] :	[ 856 205 502 489 6 ]
[3  4  2  1  1] :	[ 30 773 484 934 449 ]
[4  4  2  1  1] :	[ 542 941 310 839 547 ]
[5  4  2  1  1] :	[ 56 61 497 568 791 ]
[1  5  2  1  1] :	[ 209 705 586 55 325 ]
[2  5  2  1  1] :	[ 542 783 350 367 852 ]
[3  5  2  1  1] :	[ 128 411 342 936 478 ]
[4  5  2  1  1] :	[ 579 172 200 131 19 ]
[5  5  2  1  1] :	[ 391 218 448 214 815 ]
[1  1  3  1  1] :	[ 409 786 590 127 789 ]
[2  1  3  1  1] :	[ 196 478 372 89 527 ]
[3  1  3  1  1] :	[ 142 782 829 389 19 ]
[4  1  3  1  1] :	[ 907 864 112 851 17 ]
[5  1  3  1  1] :	[ 245 283 942 916 232 ]
