# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644574315299
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 10 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_3_10_5.txt
# Players:	3
# Actions:	10 10 10
# players:	3
# actions:	[10]
# r:	-0.2
[1  1  1] :	[ 578 346 537 ]
[2  1  1] :	[ 523 649 368 ]
[3  1  1] :	[ 415 371 440 ]
[4  1  1] :	[ 368 559 423 ]
[5  1  1] :	[ 577 514 578 ]
[6  1  1] :	[ 230 465 429 ]
[7  1  1] :	[ 655 588 474 ]
[8  1  1] :	[ 442 503 660 ]
[9  1  1] :	[ 523 404 237 ]
[10  1  1] :	[ 426 641 456 ]
[1  2  1] :	[ 523 707 454 ]
[2  2  1] :	[ 511 452 426 ]
[3  2  1] :	[ 388 642 496 ]
[4  2  1] :	[ 525 388 429 ]
[5  2  1] :	[ 490 358 675 ]
[6  2  1] :	[ 866 477 179 ]
[7  2  1] :	[ 413 822 332 ]
[8  2  1] :	[ 678 452 495 ]
[9  2  1] :	[ 763 642 294 ]
[10  2  1] :	[ 721 625 324 ]
[1  3  1] :	[ 619 412 449 ]
[2  3  1] :	[ 582 509 566 ]
[3  3  1] :	[ 663 358 520 ]
[4  3  1] :	[ 609 374 385 ]
[5  3  1] :	[ 484 750 529 ]
[6  3  1] :	[ 350 312 555 ]
[7  3  1] :	[ 570 779 367 ]
[8  3  1] :	[ 569 444 616 ]
[9  3  1] :	[ 454 371 652 ]
[10  3  1] :	[ 803 340 539 ]
[1  4  1] :	[ 230 506 466 ]
[2  4  1] :	[ 709 416 493 ]
[3  4  1] :	[ 551 482 494 ]
[4  4  1] :	[ 409 785 641 ]
[5  4  1] :	[ 489 623 440 ]
[6  4  1] :	[ 580 453 773 ]
[7  4  1] :	[ 560 287 437 ]
[8  4  1] :	[ 574 364 544 ]
[9  4  1] :	[ 458 547 378 ]
[10  4  1] :	[ 482 377 526 ]
[1  5  1] :	[ 581 618 569 ]
[2  5  1] :	[ 587 438 498 ]
[3  5  1] :	[ 405 620 563 ]
[4  5  1] :	[ 381 260 625 ]
[5  5  1] :	[ 593 504 307 ]
[6  5  1] :	[ 308 260 868 ]
