# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1652359355524
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f CG_multi_3_5_3.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
# r:	-0.2
[1  1  1] :	[ 49 64 40 ]
[2  1  1] :	[ 32 42 58 ]
[3  1  1] :	[ 41 56 61 ]
[4  1  1] :	[ 71 34 48 ]
[5  1  1] :	[ 45 81 50 ]
[1  2  1] :	[ 48 55 29 ]
[2  2  1] :	[ 43 77 54 ]
[3  2  1] :	[ 57 37 46 ]
[4  2  1] :	[ 45 55 29 ]
[5  2  1] :	[ 92 51 47 ]
[1  3  1] :	[ 27 73 68 ]
[2  3  1] :	[ 43 53 48 ]
[3  3  1] :	[ 70 71 40 ]
[4  3  1] :	[ 63 71 48 ]
[5  3  1] :	[ 47 30 53 ]
[1  4  1] :	[ 52 29 18 ]
[2  4  1] :	[ 62 8 73 ]
[3  4  1] :	[ 79 32 59 ]
[4  4  1] :	[ 44 46 62 ]
[5  4  1] :	[ 53 46 59 ]
[1  5  1] :	[ 20 49 73 ]
[2  5  1] :	[ 65 42 39 ]
[3  5  1] :	[ 56 58 38 ]
[4  5  1] :	[ 61 61 31 ]
[5  5  1] :	[ 77 63 52 ]
[1  1  2] :	[ 57 54 63 ]
[2  1  2] :	[ 42 62 70 ]
[3  1  2] :	[ 52 65 48 ]
[4  1  2] :	[ 36 81 43 ]
[5  1  2] :	[ 60 34 65 ]
[1  2  2] :	[ 36 81 43 ]
[2  2  2] :	[ 36 63 49 ]
[3  2  2] :	[ 54 46 42 ]
[4  2  2] :	[ 24 35 100 ]
[5  2  2] :	[ 41 59 45 ]
[1  3  2] :	[ 68 28 66 ]
[2  3  2] :	[ 47 45 60 ]
[3  3  2] :	[ 1 47 88 ]
[4  3  2] :	[ 29 69 35 ]
[5  3  2] :	[ 71 47 41 ]
[1  4  2] :	[ 26 32 61 ]
[2  4  2] :	[ 22 33 72 ]
[3  4  2] :	[ 50 58 76 ]
[4  4  2] :	[ 50 39 62 ]
[5  4  2] :	[ 65 62 18 ]
[1  5  2] :	[ 56 51 36 ]
[2  5  2] :	[ 28 57 58 ]
[3  5  2] :	[ 47 24 85 ]
[4  5  2] :	[ 48 52 51 ]
[5  5  2] :	[ 68 44 28 ]
[1  1  3] :	[ 64 46 50 ]
[2  1  3] :	[ 53 39 61 ]
[3  1  3] :	[ 56 14 57 ]
[4  1  3] :	[ 37 38 74 ]
[5  1  3] :	[ 60 41 37 ]
[1  2  3] :	[ 45 63 70 ]
[2  2  3] :	[ 38 83 51 ]
[3  2  3] :	[ 43 58 60 ]
[4  2  3] :	[ 59 46 66 ]
[5  2  3] :	[ 57 32 45 ]
[1  3  3] :	[ 41 37 41 ]
[2  3  3] :	[ 47 44 35 ]
[3  3  3] :	[ 64 43 72 ]
[4  3  3] :	[ 61 48 59 ]
[5  3  3] :	[ 58 63 65 ]
[1  4  3] :	[ 23 60 66 ]
[2  4  3] :	[ 86 77 27 ]
[3  4  3] :	[ 49 56 37 ]
[4  4  3] :	[ 48 31 54 ]
[5  4  3] :	[ 46 60 43 ]
[1  5  3] :	[ 17 45 45 ]
[2  5  3] :	[ 50 61 47 ]
[3  5  3] :	[ 39 69 49 ]
[4  5  3] :	[ 69 29 49 ]
[5  5  3] :	[ 31 73 71 ]
[1  1  4] :	[ 44 51 62 ]
[2  1  4] :	[ 23 81 60 ]
[3  1  4] :	[ 64 55 46 ]
[4  1  4] :	[ 52 63 49 ]
[5  1  4] :	[ 54 40 45 ]
[1  2  4] :	[ 74 52 37 ]
[2  2  4] :	[ 46 38 63 ]
[3  2  4] :	[ 66 34 70 ]
[4  2  4] :	[ 88 49 52 ]
[5  2  4] :	[ 82 50 48 ]
[1  3  4] :	[ 62 31 55 ]
[2  3  4] :	[ 63 63 56 ]
[3  3  4] :	[ 51 52 67 ]
[4  3  4] :	[ 46 54 58 ]
[5  3  4] :	[ 65 38 56 ]
[1  4  4] :	[ 54 61 27 ]
[2  4  4] :	[ 60 61 66 ]
[3  4  4] :	[ 74 68 16 ]
[4  4  4] :	[ 34 71 49 ]
[5  4  4] :	[ 34 47 45 ]
[1  5  4] :	[ 55 36 44 ]
[2  5  4] :	[ 42 59 83 ]
[3  5  4] :	[ 62 28 40 ]
[4  5  4] :	[ 50 45 57 ]
[5  5  4] :	[ 52 45 29 ]
[1  1  5] :	[ 28 53 55 ]
[2  1  5] :	[ 49 28 73 ]
[3  1  5] :	[ 58 70 44 ]
[4  1  5] :	[ 74 54 66 ]
[5  1  5] :	[ 63 48 36 ]
[1  2  5] :	[ 49 55 55 ]
[2  2  5] :	[ 78 65 43 ]
[3  2  5] :	[ 52 52 29 ]
[4  2  5] :	[ 92 44 68 ]
[5  2  5] :	[ 30 73 43 ]
[1  3  5] :	[ 61 52 36 ]
[2  3  5] :	[ 14 69 65 ]
[3  3  5] :	[ 68 52 45 ]
[4  3  5] :	[ 72 50 49 ]
[5  3  5] :	[ 61 38 54 ]
[1  4  5] :	[ 68 70 27 ]
[2  4  5] :	[ 38 78 17 ]
[3  4  5] :	[ 55 51 58 ]
[4  4  5] :	[ 37 67 41 ]
[5  4  5] :	[ 55 37 55 ]
[1  5  5] :	[ 37 48 60 ]
[2  5  5] :	[ 37 54 65 ]
[3  5  5] :	[ 56 49 38 ]
[4  5  5] :	[ 26 49 74 ]
[5  5  5] :	[ 64 53 33 ]
