# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644574317383
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 10 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_3_10_6.txt
# Players:	3
# Actions:	10 10 10
# players:	3
# actions:	[10]
# r:	-0.2
[1  1  1] :	[ 390 421 205 ]
[2  1  1] :	[ 401 595 519 ]
[3  1  1] :	[ 342 232 540 ]
[4  1  1] :	[ 622 445 467 ]
[5  1  1] :	[ 577 164 515 ]
[6  1  1] :	[ 521 561 403 ]
[7  1  1] :	[ 419 386 440 ]
[8  1  1] :	[ 473 324 553 ]
[9  1  1] :	[ 387 642 487 ]
[10  1  1] :	[ 412 589 583 ]
[1  2  1] :	[ 607 524 714 ]
[2  2  1] :	[ 538 374 525 ]
[3  2  1] :	[ 430 486 453 ]
[4  2  1] :	[ 433 535 660 ]
[5  2  1] :	[ 485 755 396 ]
[6  2  1] :	[ 460 508 667 ]
[7  2  1] :	[ 513 594 438 ]
[8  2  1] :	[ 535 480 521 ]
[9  2  1] :	[ 365 470 610 ]
[10  2  1] :	[ 624 279 391 ]
[1  3  1] :	[ 622 348 450 ]
[2  3  1] :	[ 758 649 637 ]
[3  3  1] :	[ 350 476 378 ]
[4  3  1] :	[ 362 482 341 ]
[5  3  1] :	[ 309 660 386 ]
[6  3  1] :	[ 674 447 713 ]
[7  3  1] :	[ 636 496 606 ]
[8  3  1] :	[ 261 617 643 ]
[9  3  1] :	[ 314 406 580 ]
[10  3  1] :	[ 354 591 493 ]
[1  4  1] :	[ 645 395 473 ]
[2  4  1] :	[ 524 455 379 ]
[3  4  1] :	[ 431 531 468 ]
[4  4  1] :	[ 117 638 543 ]
[5  4  1] :	[ 651 431 484 ]
[6  4  1] :	[ 567 456 578 ]
[7  4  1] :	[ 401 549 521 ]
[8  4  1] :	[ 176 558 817 ]
[9  4  1] :	[ 732 681 316 ]
[10  4  1] :	[ 480 302 562 ]
[1  5  1] :	[ 671 355 424 ]
[2  5  1] :	[ 516 588 718 ]
[3  5  1] :	[ 489 408 589 ]
[4  5  1] :	[ 313 722 321 ]
[5  5  1] :	[ 427 543 505 ]
[6  5  1] :	[ 555 414 829 ]
[7  5  1] :	[ 666 368 555 ]
[8  5  1] :	[ 389 744 773 ]
[9  5  1] :	[ 309 147 670 ]
[10  5  1] :	[ 538 595 492 ]
[1  6  1] :	[ 452 486 449 ]
[2  6  1] :	[ 519 867 414 ]
[3  6  1] :	[ 552 434 508 ]
[4  6  1] :	[ 369 686 296 ]
[5  6  1] :	[ 629 556 551 ]
[6  6  1] :	[ 458 503 633 ]
[7  6  1] :	[ 844 581 291 ]
[8  6  1] :	[ 251 445 501 ]
[9  6  1] :	[ 423 716 526 ]
[10  6  1] :	[ 626 560 159 ]
[1  7  1] :	[ 519 522 303 ]
[2  7  1] :	[ 669 638 484 ]
[3  7  1] :	[ 463 450 681 ]
[4  7  1] :	[ 727 265 556 ]
[5  7  1] :	[ 586 623 491 ]
[6  7  1] :	[ 331 245 676 ]
[7  7  1] :	[ 566 479 528 ]
[8  7  1] :	[ 370 712 766 ]
[9  7  1] :	[ 477 414 533 ]
[10  7  1] :	[ 593 383 553 ]
[1  8  1] :	[ 457 316 463 ]
[2  8  1] :	[ 607 206 751 ]
[3  8  1] :	[ 762 345 419 ]
[4  8  1] :	[ 633 533 462 ]
[5  8  1] :	[ 752 635 330 ]
[6  8  1] :	[ 334 493 403 ]
[7  8  1] :	[ 602 426 440 ]
[8  8  1] :	[ 455 815 539 ]
[9  8  1] :	[ 439 679 245 ]
[10  8  1] :	[ 549 355 550 ]
[1  9  1] :	[ 623 625 496 ]
[2  9  1] :	[ 334 673 143 ]
[3  9  1] :	[ 352 656 458 ]
[4  9  1] :	[ 553 538 423 ]
[5  9  1] :	[ 447 371 622 ]
[6  9  1] :	[ 491 339 501 ]
[7  9  1] :	[ 674 493 720 ]
[8  9  1] :	[ 632 656 323 ]
[9  9  1] :	[ 398 389 448 ]
[10  9  1] :	[ 464 623 395 ]
[1  10  1] :	[ 448 556 544 ]
[2  10  1] :	[ 294 501 500 ]
[3  10  1] :	[ 513 388 384 ]
[4  10  1] :	[ 420 402 337 ]
[5  10  1] :	[ 236 760 199 ]
[6  10  1] :	[ 347 548 733 ]
[7  10  1] :	[ 568 422 720 ]
[8  10  1] :	[ 461 702 310 ]
[9  10  1] :	[ 337 581 521 ]
[10  10  1] :	[ 573 276 489 ]
[1  1  2] :	[ 631 950 308 ]
[2  1  2] :	[ 340 588 570 ]
[3  1  2] :	[ 419 375 411 ]
[4  1  2] :	[ 370 401 656 ]
[5  1  2] :	[ 643 423 627 ]
[6  1  2] :	[ 474 489 127 ]
[7  1  2] :	[ 791 303 454 ]
[8  1  2] :	[ 522 492 623 ]
[9  1  2] :	[ 355 710 299 ]
[10  1  2] :	[ 378 640 464 ]
[1  2  2] :	[ 563 152 780 ]
[2  2  2] :	[ 575 363 475 ]
[3  2  2] :	[ 360 666 558 ]
[4  2  2] :	[ 321 674 399 ]
[5  2  2] :	[ 595 668 613 ]
[6  2  2] :	[ 429 528 572 ]
[7  2  2] :	[ 743 332 324 ]
[8  2  2] :	[ 498 512 740 ]
[9  2  2] :	[ 769 341 408 ]
[10  2  2] :	[ 531 434 401 ]
[1  3  2] :	[ 554 303 374 ]
[2  3  2] :	[ 554 254 362 ]
[3  3  2] :	[ 319 513 598 ]
[4  3  2] :	[ 740 255 604 ]
[5  3  2] :	[ 409 442 614 ]
[6  3  2] :	[ 338 355 542 ]
[7  3  2] :	[ 399 251 764 ]
[8  3  2] :	[ 312 346 635 ]
[9  3  2] :	[ 674 463 475 ]
[10  3  2] :	[ 762 286 471 ]
[1  4  2] :	[ 520 396 769 ]
[2  4  2] :	[ 461 491 538 ]
[3  4  2] :	[ 224 427 647 ]
[4  4  2] :	[ 409 406 479 ]
[5  4  2] :	[ 660 398 322 ]
[6  4  2] :	[ 588 615 248 ]
[7  4  2] :	[ 413 826 431 ]
[8  4  2] :	[ 461 395 783 ]
[9  4  2] :	[ 60 502 680 ]
[10  4  2] :	[ 369 420 428 ]
[1  5  2] :	[ 412 440 674 ]
[2  5  2] :	[ 407 654 506 ]
[3  5  2] :	[ 371 433 578 ]
[4  5  2] :	[ 266 299 874 ]
[5  5  2] :	[ 664 283 619 ]
[6  5  2] :	[ 445 493 506 ]
[7  5  2] :	[ 521 579 321 ]
[8  5  2] :	[ 447 367 198 ]
[9  5  2] :	[ 355 526 638 ]
[10  5  2] :	[ 644 492 476 ]
[1  6  2] :	[ 545 452 545 ]
[2  6  2] :	[ 395 483 464 ]
[3  6  2] :	[ 195 730 649 ]
[4  6  2] :	[ 503 667 610 ]
[5  6  2] :	[ 607 442 586 ]
[6  6  2] :	[ 483 581 480 ]
[7  6  2] :	[ 438 454 698 ]
[8  6  2] :	[ 286 315 483 ]
[9  6  2] :	[ 615 400 419 ]
[10  6  2] :	[ 423 346 539 ]
[1  7  2] :	[ 503 529 246 ]
[2  7  2] :	[ 311 614 404 ]
[3  7  2] :	[ 745 356 427 ]
[4  7  2] :	[ 531 457 397 ]
[5  7  2] :	[ 453 348 394 ]
[6  7  2] :	[ 718 500 541 ]
[7  7  2] :	[ 719 384 222 ]
[8  7  2] :	[ 583 592 474 ]
[9  7  2] :	[ 368 620 604 ]
[10  7  2] :	[ 633 409 374 ]
[1  8  2] :	[ 418 456 476 ]
[2  8  2] :	[ 380 428 532 ]
[3  8  2] :	[ 413 537 514 ]
[4  8  2] :	[ 529 423 711 ]
[5  8  2] :	[ 443 412 380 ]
[6  8  2] :	[ 710 685 545 ]
[7  8  2] :	[ 263 631 382 ]
[8  8  2] :	[ 764 555 223 ]
[9  8  2] :	[ 381 500 463 ]
[10  8  2] :	[ 334 663 415 ]
[1  9  2] :	[ 301 464 577 ]
[2  9  2] :	[ 793 392 410 ]
[3  9  2] :	[ 533 697 404 ]
[4  9  2] :	[ 412 454 272 ]
[5  9  2] :	[ 457 498 664 ]
[6  9  2] :	[ 338 466 513 ]
[7  9  2] :	[ 881 436 536 ]
[8  9  2] :	[ 571 621 305 ]
[9  9  2] :	[ 634 543 383 ]
[10  9  2] :	[ 786 406 660 ]
[1  10  2] :	[ 458 592 480 ]
[2  10  2] :	[ 437 542 573 ]
[3  10  2] :	[ 589 472 531 ]
[4  10  2] :	[ 438 325 448 ]
[5  10  2] :	[ 632 349 537 ]
[6  10  2] :	[ 401 740 338 ]
[7  10  2] :	[ 626 553 648 ]
[8  10  2] :	[ 366 620 397 ]
[9  10  2] :	[ 453 724 346 ]
[10  10  2] :	[ 583 446 592 ]
[1  1  3] :	[ 781 235 377 ]
[2  1  3] :	[ 353 545 255 ]
[3  1  3] :	[ 342 410 498 ]
[4  1  3] :	[ 447 241 567 ]
[5  1  3] :	[ 497 707 319 ]
[6  1  3] :	[ 88 438 479 ]
[7  1  3] :	[ 418 712 244 ]
[8  1  3] :	[ 522 464 630 ]
[9  1  3] :	[ 512 325 612 ]
[10  1  3] :	[ 266 559 580 ]
[1  2  3] :	[ 305 768 517 ]
[2  2  3] :	[ 59 587 692 ]
[3  2  3] :	[ 645 360 413 ]
[4  2  3] :	[ 388 373 582 ]
[5  2  3] :	[ 511 738 315 ]
[6  2  3] :	[ 550 505 310 ]
[7  2  3] :	[ 399 411 468 ]
[8  2  3] :	[ 425 801 366 ]
[9  2  3] :	[ 347 536 834 ]
[10  2  3] :	[ 280 577 669 ]
[1  3  3] :	[ 801 323 416 ]
[2  3  3] :	[ 515 612 361 ]
[3  3  3] :	[ 622 406 549 ]
[4  3  3] :	[ 670 672 212 ]
[5  3  3] :	[ 602 594 394 ]
[6  3  3] :	[ 582 531 391 ]
[7  3  3] :	[ 605 349 403 ]
[8  3  3] :	[ 756 420 581 ]
[9  3  3] :	[ 454 437 531 ]
[10  3  3] :	[ 811 274 390 ]
[1  4  3] :	[ 622 508 590 ]
[2  4  3] :	[ 588 660 397 ]
[3  4  3] :	[ 540 658 522 ]
[4  4  3] :	[ 357 431 652 ]
[5  4  3] :	[ 640 252 490 ]
[6  4  3] :	[ 247 565 532 ]
[7  4  3] :	[ 455 401 518 ]
[8  4  3] :	[ 504 640 504 ]
[9  4  3] :	[ 611 394 356 ]
[10  4  3] :	[ 360 370 408 ]
[1  5  3] :	[ 801 808 521 ]
[2  5  3] :	[ 520 386 467 ]
[3  5  3] :	[ 486 689 515 ]
[4  5  3] :	[ 562 468 454 ]
[5  5  3] :	[ 632 418 330 ]
[6  5  3] :	[ 385 694 169 ]
[7  5  3] :	[ 554 192 514 ]
[8  5  3] :	[ 415 497 385 ]
[9  5  3] :	[ 444 320 588 ]
[10  5  3] :	[ 674 412 685 ]
[1  6  3] :	[ 536 419 558 ]
[2  6  3] :	[ 430 499 599 ]
[3  6  3] :	[ 415 619 652 ]
[4  6  3] :	[ 451 129 747 ]
[5  6  3] :	[ 581 499 494 ]
[6  6  3] :	[ 504 475 609 ]
[7  6  3] :	[ 207 684 463 ]
[8  6  3] :	[ 465 475 389 ]
[9  6  3] :	[ 318 375 617 ]
[10  6  3] :	[ 794 345 478 ]
[1  7  3] :	[ 311 400 686 ]
[2  7  3] :	[ 473 501 558 ]
[3  7  3] :	[ 692 430 479 ]
[4  7  3] :	[ 529 307 428 ]
