# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644412819629
# Cmd Line:	-g CovariantGame -r -0.2 -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_5_5_7.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
# r:	-0.2
[1  1  1  1  1] :	[ 410 440 492 685 598 ]
[2  1  1  1  1] :	[ 306 758 245 483 770 ]
[3  1  1  1  1] :	[ 509 519 511 473 369 ]
[4  1  1  1  1] :	[ 539 473 481 402 490 ]
[5  1  1  1  1] :	[ 151 806 313 633 656 ]
[1  2  1  1  1] :	[ 597 339 370 526 571 ]
[2  2  1  1  1] :	[ 136 674 402 580 477 ]
[3  2  1  1  1] :	[ 694 290 404 257 641 ]
[4  2  1  1  1] :	[ 405 747 419 366 461 ]
[5  2  1  1  1] :	[ 729 494 754 391 252 ]
[1  3  1  1  1] :	[ 460 740 436 531 477 ]
[2  3  1  1  1] :	[ 405 391 441 546 611 ]
[3  3  1  1  1] :	[ 397 524 590 526 249 ]
[4  3  1  1  1] :	[ 195 667 819 496 465 ]
[5  3  1  1  1] :	[ 631 552 397 307 491 ]
[1  4  1  1  1] :	[ 641 447 454 281 438 ]
[2  4  1  1  1] :	[ 497 476 631 492 486 ]
[3  4  1  1  1] :	[ 316 676 237 583 815 ]
[4  4  1  1  1] :	[ 751 475 509 363 188 ]
[5  4  1  1  1] :	[ 484 629 398 518 531 ]
[1  5  1  1  1] :	[ 734 465 487 344 495 ]
[2  5  1  1  1] :	[ 417 618 608 573 552 ]
[3  5  1  1  1] :	[ 273 774 422 572 294 ]
[4  5  1  1  1] :	[ 786 365 601 286 591 ]
[5  5  1  1  1] :	[ 348 465 681 467 577 ]
[1  1  2  1  1] :	[ 187 532 475 670 514 ]
[2  1  2  1  1] :	[ 383 750 562 313 615 ]
[3  1  2  1  1] :	[ 526 366 593 286 625 ]
[4  1  2  1  1] :	[ 640 464 349 718 428 ]
[5  1  2  1  1] :	[ 533 469 527 628 296 ]
[1  2  2  1  1] :	[ 379 425 626 483 355 ]
[2  2  2  1  1] :	[ 511 663 272 501 815 ]
[3  2  2  1  1] :	[ 399 421 521 242 728 ]
[4  2  2  1  1] :	[ 450 453 386 451 865 ]
[5  2  2  1  1] :	[ 663 371 636 426 633 ]
[1  3  2  1  1] :	[ 563 536 693 334 465 ]
[2  3  2  1  1] :	[ 431 558 920 363 433 ]
[3  3  2  1  1] :	[ 412 585 554 416 714 ]
[4  3  2  1  1] :	[ 504 507 295 576 470 ]
[5  3  2  1  1] :	[ 508 507 304 651 595 ]
[1  4  2  1  1] :	[ 412 272 801 604 522 ]
[2  4  2  1  1] :	[ 547 620 544 423 506 ]
[3  4  2  1  1] :	[ 289 526 322 497 792 ]
[4  4  2  1  1] :	[ 531 545 353 409 561 ]
[5  4  2  1  1] :	[ 364 605 594 467 428 ]
[1  5  2  1  1] :	[ 542 444 385 671 524 ]
[2  5  2  1  1] :	[ 663 328 515 561 586 ]
[3  5  2  1  1] :	[ 589 461 561 486 457 ]
[4  5  2  1  1] :	[ 454 646 555 588 553 ]
[5  5  2  1  1] :	[ 586 822 581 147 464 ]
[1  1  3  1  1] :	[ 536 381 557 761 416 ]
