# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1644491368560
# Cmd Line:	-g RandomGame -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_5_5_4.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
[1  1  1  1  1] :	[ 364 567 749 311 949 ]
[2  1  1  1  1] :	[ 684 660 442 105 211 ]
[3  1  1  1  1] :	[ 580 421 801 437 507 ]
[4  1  1  1  1] :	[ 90 886 374 918 714 ]
[5  1  1  1  1] :	[ 873 14 702 277 772 ]
[1  2  1  1  1] :	[ 138 483 170 315 712 ]
[2  2  1  1  1] :	[ 240 646 586 424 21 ]
[3  2  1  1  1] :	[ 797 491 452 798 718 ]
[4  2  1  1  1] :	[ 745 137 951 41 45 ]
[5  2  1  1  1] :	[ 812 652 947 859 698 ]
[1  3  1  1  1] :	[ 490 356 881 429 967 ]
[2  3  1  1  1] :	[ 968 461 464 138 533 ]
[3  3  1  1  1] :	[ 543 380 532 698 462 ]
[4  3  1  1  1] :	[ 790 710 577 705 427 ]
[5  3  1  1  1] :	[ 194 256 176 746 322 ]
[1  4  1  1  1] :	[ 215 754 265 540 889 ]
[2  4  1  1  1] :	[ 11 731 964 342 681 ]
[3  4  1  1  1] :	[ 131 617 340 185 492 ]
[4  4  1  1  1] :	[ 615 980 763 421 708 ]
[5  4  1  1  1] :	[ 340 48 306 15 561 ]
[1  5  1  1  1] :	[ 741 187 469 196 866 ]
[2  5  1  1  1] :	[ 323 537 595 493 641 ]
[3  5  1  1  1] :	[ 946 631 178 329 809 ]
[4  5  1  1  1] :	[ 54 390 51 271 345 ]
[5  5  1  1  1] :	[ 35 426 982 25 844 ]
[1  1  2  1  1] :	[ 649 53 966 770 395 ]
[2  1  2  1  1] :	[ 826 453 745 439 777 ]
[3  1  2  1  1] :	[ 355 107 729 56 49 ]
[4  1  2  1  1] :	[ 769 31 721 433 720 ]
[5  1  2  1  1] :	[ 608 534 654 779 871 ]
[1  2  2  1  1] :	[ 184 992 596 304 291 ]
[2  2  2  1  1] :	[ 662 794 520 65 174 ]
[3  2  2  1  1] :	[ 787 778 487 288 244 ]
[4  2  2  1  1] :	[ 819 77 542 412 481 ]
[5  2  2  1  1] :	[ 753 758 483 127 128 ]
[1  3  2  1  1] :	[ 974 991 588 556 743 ]
[2  3  2  1  1] :	[ 791 945 647 781 482 ]
[3  3  2  1  1] :	[ 201 508 596 332 618 ]
[4  3  2  1  1] :	[ 916 758 583 243 774 ]
[5  3  2  1  1] :	[ 209 782 941 654 119 ]
[1  4  2  1  1] :	[ 191 77 983 560 622 ]
[2  4  2  1  1] :	[ 838 426 485 72 80 ]
[3  4  2  1  1] :	[ 323 266 293 468 639 ]
[4  4  2  1  1] :	[ 389 127 686 698 698 ]
[5  4  2  1  1] :	[ 702 391 169 970 825 ]
[1  5  2  1  1] :	[ 659 144 501 803 689 ]
[2  5  2  1  1] :	[ 900 813 661 581 879 ]
[3  5  2  1  1] :	[ 546 212 150 715 111 ]
[4  5  2  1  1] :	[ 739 827 677 669 87 ]
[5  5  2  1  1] :	[ 902 719 611 824 525 ]
[1  1  3  1  1] :	[ 452 739 754 136 730 ]
[2  1  3  1  1] :	[ 16 463 246 230 877 ]
[3  1  3  1  1] :	[ 783 771 335 785 16 ]
[4  1  3  1  1] :	[ 448 909 904 504 229 ]
[5  1  3  1  1] :	[ 19 551 704 903 475 ]
[1  2  3  1  1] :	[ 313 170 651 183 551 ]
[2  2  3  1  1] :	[ 19 631 567 347 259 ]
[3  2  3  1  1] :	[ 233 71 801 86 89 ]
[4  2  3  1  1] :	[ 580 5 617 515 879 ]
[5  2  3  1  1] :	[ 939 836 605 686 13 ]
[1  3  3  1  1] :	[ 431 789 616 926 83 ]
[2  3  3  1  1] :	[ 347 457 119 242 978 ]
[3  3  3  1  1] :	[ 460 54 843 277 982 ]
[4  3  3  1  1] :	[ 238 482 633 679 943 ]
[5  3  3  1  1] :	[ 518 902 653 290 249 ]
[1  4  3  1  1] :	[ 916 381 487 756 779 ]
[2  4  3  1  1] :	[ 16 787 297 703 637 ]
[3  4  3  1  1] :	[ 908 126 56 361 486 ]
[4  4  3  1  1] :	[ 463 185 762 400 914 ]
[5  4  3  1  1] :	[ 540 953 675 4 593 ]
[1  5  3  1  1] :	[ 784 15 680 54 63 ]
[2  5  3  1  1] :	[ 912 557 934 392 760 ]
[3  5  3  1  1] :	[ 381 77 213 274 726 ]
[4  5  3  1  1] :	[ 857 896 95 195 930 ]
[5  5  3  1  1] :	[ 298 445 465 28 983 ]
[1  1  4  1  1] :	[ 242 365 13 486 200 ]
[2  1  4  1  1] :	[ 789 657 306 44 684 ]
[3  1  4  1  1] :	[ 824 67 105 491 45 ]
[4  1  4  1  1] :	[ 187 278 449 813 646 ]
[5  1  4  1  1] :	[ 496 858 265 975 635 ]
[1  2  4  1  1] :	[ 992 263 361 63 609 ]
[2  2  4  1  1] :	[ 396 849 789 142 752 ]
[3  2  4  1  1] :	[ 19 590 517 898 76 ]
[4  2  4  1  1] :	[ 269 191 927 315 684 ]
[5  2  4  1  1] :	[ 451 30 41 56 246 ]
[1  3  4  1  1] :	[ 592 551 545 796 426 ]
[2  3  4  1  1] :	[ 568 108 37 379 501 ]
[3  3  4  1  1] :	[ 104 492 232 317 255 ]
[4  3  4  1  1] :	[ 539 490 348 89 139 ]
[5  3  4  1  1] :	[ 398 293 141 8 273 ]
[1  4  4  1  1] :	[ 839 838 921 34 755 ]
[2  4  4  1  1] :	[ 169 274 632 85 930 ]
[3  4  4  1  1] :	[ 302 940 60 644 391 ]
[4  4  4  1  1] :	[ 530 643 935 709 705 ]
[5  4  4  1  1] :	[ 225 535 993 81 813 ]
[1  5  4  1  1] :	[ 868 709 986 241 566 ]
[2  5  4  1  1] :	[ 947 990 296 154 360 ]
[3  5  4  1  1] :	[ 857 429 572 163 350 ]
[4  5  4  1  1] :	[ 628 171 739 363 369 ]
[5  5  4  1  1] :	[ 307 640 36 51 684 ]
[1  1  5  1  1] :	[ 861 634 189 154 121 ]
[2  1  5  1  1] :	[ 208 727 753 455 223 ]
[3  1  5  1  1] :	[ 244 418 925 686 463 ]
[4  1  5  1  1] :	[ 900 326 506 485 155 ]
[5  1  5  1  1] :	[ 838 187 344 637 277 ]
[1  2  5  1  1] :	[ 319 33 712 118 672 ]
[2  2  5  1  1] :	[ 949 645 814 160 756 ]
[3  2  5  1  1] :	[ 446 8 338 56 189 ]
[4  2  5  1  1] :	[ 97 635 885 279 314 ]
[5  2  5  1  1] :	[ 970 979 561 866 987 ]
[1  3  5  1  1] :	[ 944 60 933 687 981 ]
[2  3  5  1  1] :	[ 652 330 859 544 911 ]
[3  3  5  1  1] :	[ 387 321 391 938 205 ]
[4  3  5  1  1] :	[ 668 803 5 751 928 ]
[5  3  5  1  1] :	[ 347 460 416 205 464 ]
[1  4  5  1  1] :	[ 447 546 214 340 617 ]
[2  4  5  1  1] :	[ 150 358 951 247 456 ]
[3  4  5  1  1] :	[ 830 935 833 255 78 ]
[4  4  5  1  1] :	[ 936 513 963 849 373 ]
[5  4  5  1  1] :	[ 414 204 963 184 357 ]
[1  5  5  1  1] :	[ 250 873 915 164 84 ]
[2  5  5  1  1] :	[ 99 710 185 965 570 ]
[3  5  5  1  1] :	[ 138 581 349 25 543 ]
[4  5  5  1  1] :	[ 303 704 606 548 685 ]
[5  5  5  1  1] :	[ 301 963 625 57 294 ]
[1  1  1  2  1] :	[ 263 209 812 520 689 ]
[2  1  1  2  1] :	[ 630 915 242 217 270 ]
[3  1  1  2  1] :	[ 925 725 658 743 219 ]
[4  1  1  2  1] :	[ 930 242 559 273 777 ]
[5  1  1  2  1] :	[ 289 682 508 429 846 ]
[1  2  1  2  1] :	[ 663 447 802 517 489 ]
[2  2  1  2  1] :	[ 646 988 92 143 171 ]
[3  2  1  2  1] :	[ 664 6 899 158 595 ]
[4  2  1  2  1] :	[ 101 793 371 246 633 ]
[5  2  1  2  1] :	[ 289 495 170 996 123 ]
[1  3  1  2  1] :	[ 359 268 147 524 148 ]
[2  3  1  2  1] :	[ 253 304 438 186 626 ]
[3  3  1  2  1] :	[ 110 214 817 291 32 ]
[4  3  1  2  1] :	[ 218 479 455 507 177 ]
[5  3  1  2  1] :	[ 69 850 968 679 344 ]
[1  4  1  2  1] :	[ 399 666 136 175 377 ]
[2  4  1  2  1] :	[ 933 679 132 813 337 ]
[3  4  1  2  1] :	[ 944 79 331 982 393 ]
[4  4  1  2  1] :	[ 142 869 90 872 670 ]
[5  4  1  2  1] :	[ 812 837 399 589 777 ]
[1  5  1  2  1] :	[ 399 724 827 9 27 ]
[2  5  1  2  1] :	[ 104 381 609 31 850 ]
[3  5  1  2  1] :	[ 888 71 498 647 539 ]
[4  5  1  2  1] :	[ 445 635 316 537 267 ]
