# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1644491371700
# Cmd Line:	-g RandomGame -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_5_5_5.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
[1  1  1  1  1] :	[ 472 80 549 188 255 ]
[2  1  1  1  1] :	[ 131 499 952 673 262 ]
[3  1  1  1  1] :	[ 449 453 85 744 604 ]
[4  1  1  1  1] :	[ 159 739 74 423 213 ]
[5  1  1  1  1] :	[ 353 604 56 817 627 ]
[1  2  1  1  1] :	[ 741 988 163 205 29 ]
[2  2  1  1  1] :	[ 754 278 254 822 323 ]
[3  2  1  1  1] :	[ 272 860 280 228 524 ]
[4  2  1  1  1] :	[ 668 836 830 521 776 ]
[5  2  1  1  1] :	[ 380 132 205 691 909 ]
[1  3  1  1  1] :	[ 432 883 289 510 729 ]
[2  3  1  1  1] :	[ 998 94 136 176 287 ]
[3  3  1  1  1] :	[ 884 816 91 179 566 ]
[4  3  1  1  1] :	[ 590 7 573 508 683 ]
[5  3  1  1  1] :	[ 962 523 33 190 803 ]
[1  4  1  1  1] :	[ 697 578 791 552 939 ]
[2  4  1  1  1] :	[ 93 845 22 681 613 ]
[3  4  1  1  1] :	[ 531 689 428 616 585 ]
[4  4  1  1  1] :	[ 553 69 623 580 82 ]
[5  4  1  1  1] :	[ 282 794 608 629 889 ]
[1  5  1  1  1] :	[ 689 720 652 625 159 ]
[2  5  1  1  1] :	[ 440 887 380 382 204 ]
[3  5  1  1  1] :	[ 167 699 375 648 935 ]
[4  5  1  1  1] :	[ 973 932 232 632 494 ]
[5  5  1  1  1] :	[ 833 801 13 313 321 ]
[1  1  2  1  1] :	[ 381 186 632 331 612 ]
[2  1  2  1  1] :	[ 598 274 672 15 449 ]
[3  1  2  1  1] :	[ 614 362 458 66 281 ]
[4  1  2  1  1] :	[ 653 22 564 811 831 ]
[5  1  2  1  1] :	[ 725 727 392 751 437 ]
[1  2  2  1  1] :	[ 400 841 198 658 869 ]
[2  2  2  1  1] :	[ 923 605 755 626 195 ]
[3  2  2  1  1] :	[ 345 660 620 611 804 ]
[4  2  2  1  1] :	[ 19 650 242 721 244 ]
[5  2  2  1  1] :	[ 758 568 809 985 633 ]
[1  3  2  1  1] :	[ 13 518 56 798 534 ]
[2  3  2  1  1] :	[ 900 944 49 360 935 ]
[3  3  2  1  1] :	[ 689 960 177 332 995 ]
[4  3  2  1  1] :	[ 520 399 812 202 865 ]
[5  3  2  1  1] :	[ 449 73 867 899 344 ]
[1  4  2  1  1] :	[ 164 553 56 253 828 ]
[2  4  2  1  1] :	[ 575 817 126 397 383 ]
[3  4  2  1  1] :	[ 687 915 223 497 169 ]
[4  4  2  1  1] :	[ 417 259 840 995 232 ]
[5  4  2  1  1] :	[ 323 686 267 938 786 ]
[1  5  2  1  1] :	[ 385 378 75 905 469 ]
[2  5  2  1  1] :	[ 630 193 803 772 191 ]
[3  5  2  1  1] :	[ 834 125 669 629 979 ]
[4  5  2  1  1] :	[ 742 652 612 179 497 ]
[5  5  2  1  1] :	[ 5 460 344 829 471 ]
[1  1  3  1  1] :	[ 164 900 363 479 180 ]
