# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1652520766164
# Cmd Line:	-g RandomGame -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f RG_multi_3_5_9.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
[1  1  1] :	[ 21 83 33 ]
[2  1  1] :	[ 39 60 49 ]
[3  1  1] :	[ 82 67 68 ]
[4  1  1] :	[ 3 31 3 ]
[5  1  1] :	[ 53 20 90 ]
[1  2  1] :	[ 40 41 25 ]
[2  2  1] :	[ 55 51 16 ]
[3  2  1] :	[ 63 77 100 ]
[4  2  1] :	[ 38 78 92 ]
[5  2  1] :	[ 27 8 24 ]
[1  3  1] :	[ 29 9 49 ]
[2  3  1] :	[ 66 50 96 ]
[3  3  1] :	[ 33 11 22 ]
[4  3  1] :	[ 99 29 44 ]
[5  3  1] :	[ 48 71 39 ]
[1  4  1] :	[ 34 47 26 ]
[2  4  1] :	[ 20 26 98 ]
[3  4  1] :	[ 43 37 12 ]
[4  4  1] :	[ 36 47 52 ]
[5  4  1] :	[ 52 7 22 ]
[1  5  1] :	[ 90 86 11 ]
[2  5  1] :	[ 79 18 55 ]
[3  5  1] :	[ 13 58 75 ]
[4  5  1] :	[ 75 8 57 ]
[5  5  1] :	[ 31 92 30 ]
[1  1  2] :	[ 96 33 88 ]
[2  1  2] :	[ 36 56 72 ]
[3  1  2] :	[ 39 81 90 ]
[4  1  2] :	[ 38 61 82 ]
[5  1  2] :	[ 89 99 71 ]
[1  2  2] :	[ 21 80 63 ]
[2  2  2] :	[ 80 72 27 ]
[3  2  2] :	[ 90 62 13 ]
[4  2  2] :	[ 91 24 31 ]
[5  2  2] :	[ 56 4 26 ]
[1  3  2] :	[ 84 72 35 ]
[2  3  2] :	[ 34 71 57 ]
[3  3  2] :	[ 84 39 93 ]
[4  3  2] :	[ 1 3 84 ]
[5  3  2] :	[ 9 9 11 ]
[1  4  2] :	[ 76 22 18 ]
[2  4  2] :	[ 90 33 50 ]
[3  4  2] :	[ 100 91 65 ]
[4  4  2] :	[ 32 88 75 ]
[5  4  2] :	[ 7 37 48 ]
[1  5  2] :	[ 34 86 76 ]
[2  5  2] :	[ 51 77 96 ]
[3  5  2] :	[ 91 20 95 ]
[4  5  2] :	[ 65 81 20 ]
[5  5  2] :	[ 35 4 44 ]
[1  1  3] :	[ 52 72 61 ]
[2  1  3] :	[ 73 35 77 ]
[3  1  3] :	[ 44 5 15 ]
[4  1  3] :	[ 47 7 68 ]
[5  1  3] :	[ 49 6 8 ]
[1  2  3] :	[ 8 74 98 ]
[2  2  3] :	[ 22 16 76 ]
[3  2  3] :	[ 97 95 21 ]
[4  2  3] :	[ 93 84 16 ]
[5  2  3] :	[ 98 94 80 ]
[1  3  3] :	[ 84 40 18 ]
[2  3  3] :	[ 29 43 56 ]
[3  3  3] :	[ 10 60 62 ]
[4  3  3] :	[ 84 22 11 ]
[5  3  3] :	[ 81 66 42 ]
[1  4  3] :	[ 13 60 43 ]
[2  4  3] :	[ 82 50 42 ]
[3  4  3] :	[ 52 36 30 ]
[4  4  3] :	[ 40 87 57 ]
[5  4  3] :	[ 62 42 89 ]
[1  5  3] :	[ 45 10 60 ]
[2  5  3] :	[ 5 67 4 ]
[3  5  3] :	[ 81 84 59 ]
[4  5  3] :	[ 43 90 43 ]
[5  5  3] :	[ 78 48 9 ]
[1  1  4] :	[ 95 20 5 ]
[2  1  4] :	[ 63 68 63 ]
[3  1  4] :	[ 28 3 44 ]
[4  1  4] :	[ 93 77 90 ]
[5  1  4] :	[ 61 99 85 ]
[1  2  4] :	[ 45 37 58 ]
[2  2  4] :	[ 39 57 28 ]
[3  2  4] :	[ 99 72 87 ]
[4  2  4] :	[ 82 65 27 ]
[5  2  4] :	[ 2 79 100 ]
[1  3  4] :	[ 15 76 77 ]
[2  3  4] :	[ 47 41 29 ]
[3  3  4] :	[ 9 58 45 ]
[4  3  4] :	[ 26 25 86 ]
[5  3  4] :	[ 25 1 96 ]
[1  4  4] :	[ 21 6 86 ]
[2  4  4] :	[ 68 88 96 ]
[3  4  4] :	[ 42 72 77 ]
[4  4  4] :	[ 64 38 57 ]
[5  4  4] :	[ 9 53 11 ]
[1  5  4] :	[ 63 89 36 ]
[2  5  4] :	[ 28 20 31 ]
[3  5  4] :	[ 22 51 93 ]
[4  5  4] :	[ 90 14 3 ]
[5  5  4] :	[ 72 72 6 ]
[1  1  5] :	[ 10 75 87 ]
[2  1  5] :	[ 63 13 77 ]
[3  1  5] :	[ 7 36 3 ]
[4  1  5] :	[ 80 72 12 ]
[5  1  5] :	[ 9 82 15 ]
[1  2  5] :	[ 61 48 11 ]
[2  2  5] :	[ 80 85 26 ]
[3  2  5] :	[ 53 77 19 ]
[4  2  5] :	[ 90 61 20 ]
[5  2  5] :	[ 99 52 4 ]
[1  3  5] :	[ 86 71 23 ]
[2  3  5] :	[ 94 74 72 ]
[3  3  5] :	[ 13 93 71 ]
[4  3  5] :	[ 79 59 7 ]
[5  3  5] :	[ 32 6 27 ]
[1  4  5] :	[ 5 22 84 ]
[2  4  5] :	[ 78 75 19 ]
[3  4  5] :	[ 5 1 96 ]
[4  4  5] :	[ 61 11 99 ]
[5  4  5] :	[ 26 30 84 ]
[1  5  5] :	[ 84 14 18 ]
[2  5  5] :	[ 87 47 59 ]
[3  5  5] :	[ 70 68 88 ]
[4  5  5] :	[ 53 6 57 ]
[5  5  5] :	[ 82 89 76 ]
