param n := 3;
set S[1] := 1 2 3 4 5;
set S[2] := 1 2 3 4 5;
set S[3] := 1 2 3 4 5;

param A :=
[*,1,1,1]  1 91 2 94 3 34
[*,2,1,1]  1 87 2 89 3 31
[*,3,1,1]  1 41 2 19 3 60
[*,4,1,1]  1 69 2 35 3 49
[*,5,1,1]  1 78 2 53 3 29
[*,1,2,1]  1 59 2 18 3 57
[*,2,2,1]  1 3 2 79 3 44
[*,3,2,1]  1 19 2 42 3 11
[*,4,2,1]  1 1 2 82 3 40
[*,5,2,1]  1 4 2 59 3 18
[*,1,3,1]  1 43 2 20 3 16
[*,2,3,1]  1 96 2 57 3 48
[*,3,3,1]  1 82 2 38 3 25
[*,4,3,1]  1 6 2 21 3 68
[*,5,3,1]  1 78 2 21 3 64
[*,1,4,1]  1 57 2 99 3 34
[*,2,4,1]  1 63 2 89 3 14
[*,3,4,1]  1 57 2 6 3 81
[*,4,4,1]  1 71 2 47 3 41
[*,5,4,1]  1 4 2 80 3 97
[*,1,5,1]  1 78 2 5 3 84
[*,2,5,1]  1 24 2 9 3 18
[*,3,5,1]  1 90 2 20 3 30
[*,4,5,1]  1 21 2 92 3 11
[*,5,5,1]  1 72 2 75 3 59
[*,1,1,2]  1 54 2 28 3 6
[*,2,1,2]  1 91 2 66 3 24
[*,3,1,2]  1 94 2 91 3 41
[*,4,1,2]  1 8 2 67 3 15
[*,5,1,2]  1 79 2 11 3 97
[*,1,2,2]  1 52 2 23 3 43
[*,2,2,2]  1 21 2 79 3 80
[*,3,2,2]  1 51 2 86 3 28
[*,4,2,2]  1 68 2 45 3 37
[*,5,2,2]  1 25 2 41 3 35
[*,1,3,2]  1 50 2 36 3 71
[*,2,3,2]  1 49 2 73 3 7
[*,3,3,2]  1 44 2 71 3 87
[*,4,3,2]  1 38 2 92 3 71
[*,5,3,2]  1 84 2 11 3 52
[*,1,4,2]  1 69 2 1 3 58
[*,2,4,2]  1 3 2 20 3 76
[*,3,4,2]  1 5 2 17 3 68
[*,4,4,2]  1 91 2 34 3 66
[*,5,4,2]  1 1 2 44 3 62
[*,1,5,2]  1 19 2 55 3 47
[*,2,5,2]  1 23 2 87 3 61
[*,3,5,2]  1 7 2 10 3 1
[*,4,5,2]  1 24 2 20 3 55
[*,5,5,2]  1 68 2 45 3 40
[*,1,1,3]  1 72 2 58 3 80
[*,2,1,3]  1 30 2 11 3 84
[*,3,1,3]  1 67 2 59 3 45
[*,4,1,3]  1 95 2 92 3 40
[*,5,1,3]  1 53 2 76 3 23
[*,1,2,3]  1 6 2 93 3 59
[*,2,2,3]  1 23 2 84 3 51
[*,3,2,3]  1 84 2 92 3 43
[*,4,2,3]  1 69 2 99 3 22
[*,5,2,3]  1 49 2 68 3 5
[*,1,3,3]  1 10 2 65 3 94
[*,2,3,3]  1 33 2 47 3 52
[*,3,3,3]  1 13 2 37 3 99
[*,4,3,3]  1 65 2 51 3 5
[*,5,3,3]  1 46 2 41 3 53
[*,1,4,3]  1 39 2 100 3 31
[*,2,4,3]  1 74 2 68 3 16
[*,3,4,3]  1 30 2 67 3 18
[*,4,4,3]  1 36 2 52 3 36
[*,5,4,3]  1 36 2 24 3 38
[*,1,5,3]  1 76 2 31 3 100
[*,2,5,3]  1 63 2 78 3 64
[*,3,5,3]  1 61 2 90 3 60
[*,4,5,3]  1 62 2 66 3 57
[*,5,5,3]  1 23 2 81 3 53
[*,1,1,4]  1 15 2 81 3 2
[*,2,1,4]  1 28 2 39 3 66
[*,3,1,4]  1 74 2 61 3 22
[*,4,1,4]  1 53 2 46 3 47
[*,5,1,4]  1 8 2 37 3 73
[*,1,2,4]  1 30 2 73 3 24
[*,2,2,4]  1 99 2 59 3 87
[*,3,2,4]  1 85 2 30 3 84
[*,4,2,4]  1 54 2 78 3 38
[*,5,2,4]  1 58 2 40 3 18
[*,1,3,4]  1 56 2 79 3 24
[*,2,3,4]  1 58 2 65 3 68
[*,3,3,4]  1 39 2 100 3 72
[*,4,3,4]  1 34 2 2 3 65
[*,5,3,4]  1 84 2 64 3 75
[*,1,4,4]  1 96 2 100 3 33
[*,2,4,4]  1 10 2 8 3 51
[*,3,4,4]  1 16 2 35 3 18
[*,4,4,4]  1 64 2 58 3 86
[*,5,4,4]  1 75 2 83 3 45
[*,1,5,4]  1 72 2 90 3 18
[*,2,5,4]  1 86 2 37 3 84
[*,3,5,4]  1 54 2 39 3 49
[*,4,5,4]  1 74 2 7 3 71
[*,5,5,4]  1 84 2 9 3 81
[*,1,1,5]  1 52 2 35 3 86
[*,2,1,5]  1 10 2 89 3 48
[*,3,1,5]  1 93 2 96 3 83
[*,4,1,5]  1 77 2 20 3 42
[*,5,1,5]  1 27 2 46 3 24
[*,1,2,5]  1 55 2 31 3 91
[*,2,2,5]  1 47 2 16 3 24
[*,3,2,5]  1 7 2 81 3 18
[*,4,2,5]  1 34 2 30 3 61
[*,5,2,5]  1 64 2 13 3 45
[*,1,3,5]  1 26 2 26 3 73
[*,2,3,5]  1 23 2 94 3 8
[*,3,3,5]  1 18 2 23 3 73
[*,4,3,5]  1 27 2 91 3 4
[*,5,3,5]  1 5 2 98 3 94
[*,1,4,5]  1 4 2 67 3 55
[*,2,4,5]  1 35 2 72 3 31
[*,3,4,5]  1 73 2 37 3 82
[*,4,4,5]  1 55 2 51 3 52
[*,5,4,5]  1 46 2 54 3 8
[*,1,5,5]  1 73 2 37 3 20
[*,2,5,5]  1 73 2 83 3 97
[*,3,5,5]  1 24 2 47 3 24
[*,4,5,5]  1 30 2 39 3 53
[*,5,5,5]  1 30 2 99 3 12;

#param U :=  1 98.0 2 99.0 3 99.0;
#param pu :=  1 99.0 2 100.0 3 100.0;
#param pl :=  1 1.0 2 1.0 3 1.0;
