# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1644491380010
# Cmd Line:	-g RandomGame -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_5_5_8.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
[1  1  1  1  1] :	[ 490 814 669 565 50 ]
[2  1  1  1  1] :	[ 309 862 569 828 765 ]
[3  1  1  1  1] :	[ 566 270 548 381 334 ]
[4  1  1  1  1] :	[ 189 844 527 179 448 ]
[5  1  1  1  1] :	[ 695 407 240 795 344 ]
[1  2  1  1  1] :	[ 493 986 579 905 555 ]
[2  2  1  1  1] :	[ 97 853 842 779 540 ]
[3  2  1  1  1] :	[ 520 592 471 382 900 ]
[4  2  1  1  1] :	[ 707 92 303 430 37 ]
[5  2  1  1  1] :	[ 954 871 213 611 690 ]
[1  3  1  1  1] :	[ 130 39 103 739 191 ]
[2  3  1  1  1] :	[ 76 959 512 94 858 ]
[3  3  1  1  1] :	[ 575 515 398 398 134 ]
[4  3  1  1  1] :	[ 714 588 184 107 632 ]
[5  3  1  1  1] :	[ 654 625 710 189 897 ]
[1  4  1  1  1] :	[ 982 45 118 310 189 ]
[2  4  1  1  1] :	[ 15 820 690 18 621 ]
[3  4  1  1  1] :	[ 939 966 957 643 532 ]
[4  4  1  1  1] :	[ 105 805 282 657 332 ]
[5  4  1  1  1] :	[ 410 843 407 388 254 ]
[1  5  1  1  1] :	[ 140 887 932 514 861 ]
[2  5  1  1  1] :	[ 408 266 80 822 231 ]
[3  5  1  1  1] :	[ 11 517 655 490 498 ]
[4  5  1  1  1] :	[ 350 199 581 153 139 ]
[5  5  1  1  1] :	[ 587 141 299 747 763 ]
[1  1  2  1  1] :	[ 964 487 875 986 628 ]
[2  1  2  1  1] :	[ 565 410 658 332 499 ]
[3  1  2  1  1] :	[ 394 704 500 117 437 ]
[4  1  2  1  1] :	[ 599 959 797 236 36 ]
[5  1  2  1  1] :	[ 111 371 411 212 360 ]
[1  2  2  1  1] :	[ 376 311 653 212 158 ]
[2  2  2  1  1] :	[ 534 525 877 214 891 ]
[3  2  2  1  1] :	[ 412 902 611 234 622 ]
[4  2  2  1  1] :	[ 372 259 90 168 456 ]
[5  2  2  1  1] :	[ 329 313 720 643 119 ]
[1  3  2  1  1] :	[ 36 986 829 236 26 ]
[2  3  2  1  1] :	[ 166 526 30 232 364 ]
[3  3  2  1  1] :	[ 874 860 639 102 789 ]
[4  3  2  1  1] :	[ 911 804 347 536 940 ]
[5  3  2  1  1] :	[ 367 819 273 585 622 ]
[1  4  2  1  1] :	[ 675 590 572 734 44 ]
[2  4  2  1  1] :	[ 914 456 514 335 680 ]
[3  4  2  1  1] :	[ 326 759 650 567 241 ]
[4  4  2  1  1] :	[ 47 134 716 40 512 ]
[5  4  2  1  1] :	[ 580 786 556 592 198 ]
[1  5  2  1  1] :	[ 892 211 931 943 973 ]
[2  5  2  1  1] :	[ 414 655 502 881 188 ]
[3  5  2  1  1] :	[ 974 575 562 974 689 ]
[4  5  2  1  1] :	[ 827 983 612 457 543 ]
[5  5  2  1  1] :	[ 135 91 861 753 252 ]
[1  1  3  1  1] :	[ 778 182 363 642 482 ]
[2  1  3  1  1] :	[ 499 598 910 881 195 ]
[3  1  3  1  1] :	[ 920 134 588 190 392 ]
[4  1  3  1  1] :	[ 559 316 281 366 655 ]
[5  1  3  1  1] :	[ 438 752 306 992 497 ]
[1  2  3  1  1] :	[ 36 464 226 85 559 ]
[2  2  3  1  1] :	[ 130 632 863 109 183 ]
[3  2  3  1  1] :	[ 64 418 918 703 884 ]
[4  2  3  1  1] :	[ 30 480 491 449 453 ]
[5  2  3  1  1] :	[ 511 410 935 266 852 ]
[1  3  3  1  1] :	[ 649 908 363 83 130 ]
[2  3  3  1  1] :	[ 798 750 518 480 617 ]
[3  3  3  1  1] :	[ 867 876 268 607 285 ]
[4  3  3  1  1] :	[ 287 373 178 769 528 ]
[5  3  3  1  1] :	[ 742 486 414 336 36 ]
[1  4  3  1  1] :	[ 195 701 387 58 500 ]
[2  4  3  1  1] :	[ 145 68 238 302 421 ]
[3  4  3  1  1] :	[ 501 845 474 696 332 ]
[4  4  3  1  1] :	[ 60 542 203 723 506 ]
[5  4  3  1  1] :	[ 735 987 599 384 282 ]
[1  5  3  1  1] :	[ 145 671 813 43 788 ]
[2  5  3  1  1] :	[ 951 659 45 467 510 ]
