# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1644491375044
# Cmd Line:	-g RandomGame -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_5_5_6.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
[1  1  1  1  1] :	[ 224 40 734 67 56 ]
[2  1  1  1  1] :	[ 510 368 809 98 373 ]
[3  1  1  1  1] :	[ 50 448 80 553 216 ]
[4  1  1  1  1] :	[ 378 610 507 244 350 ]
[5  1  1  1  1] :	[ 61 124 862 206 312 ]
[1  2  1  1  1] :	[ 9 242 463 864 940 ]
[2  2  1  1  1] :	[ 700 882 116 785 239 ]
[3  2  1  1  1] :	[ 321 139 168 186 323 ]
[4  2  1  1  1] :	[ 115 768 76 104 718 ]
[5  2  1  1  1] :	[ 196 503 798 103 994 ]
[1  3  1  1  1] :	[ 124 124 838 514 129 ]
[2  3  1  1  1] :	[ 870 94 29 522 987 ]
[3  3  1  1  1] :	[ 586 730 263 347 362 ]
[4  3  1  1  1] :	[ 922 863 690 233 76 ]
[5  3  1  1  1] :	[ 362 642 802 147 678 ]
[1  4  1  1  1] :	[ 152 372 945 224 174 ]
[2  4  1  1  1] :	[ 631 193 317 938 12 ]
[3  4  1  1  1] :	[ 288 372 664 723 777 ]
[4  4  1  1  1] :	[ 71 181 40 927 696 ]
[5  4  1  1  1] :	[ 487 117 852 636 943 ]
[1  5  1  1  1] :	[ 711 120 574 434 470 ]
[2  5  1  1  1] :	[ 851 272 545 88 910 ]
[3  5  1  1  1] :	[ 957 528 512 867 233 ]
[4  5  1  1  1] :	[ 582 562 124 125 762 ]
[5  5  1  1  1] :	[ 756 711 345 670 906 ]
[1  1  2  1  1] :	[ 32 99 901 34 24 ]
[2  1  2  1  1] :	[ 809 145 476 27 925 ]
[3  1  2  1  1] :	[ 709 612 906 588 228 ]
[4  1  2  1  1] :	[ 510 873 310 248 947 ]
[5  1  2  1  1] :	[ 742 960 427 654 341 ]
[1  2  2  1  1] :	[ 315 117 352 155 112 ]
[2  2  2  1  1] :	[ 147 150 289 106 763 ]
[3  2  2  1  1] :	[ 106 305 837 790 326 ]
[4  2  2  1  1] :	[ 527 955 245 806 953 ]
[5  2  2  1  1] :	[ 720 844 310 10 992 ]
[1  3  2  1  1] :	[ 70 988 989 377 694 ]
[2  3  2  1  1] :	[ 123 182 406 998 296 ]
[3  3  2  1  1] :	[ 363 614 191 570 546 ]
[4  3  2  1  1] :	[ 82 930 746 614 603 ]
[5  3  2  1  1] :	[ 205 572 763 895 257 ]
[1  4  2  1  1] :	[ 866 440 411 684 865 ]
[2  4  2  1  1] :	[ 860 138 314 746 991 ]
[3  4  2  1  1] :	[ 491 970 224 350 778 ]
[4  4  2  1  1] :	[ 799 278 836 979 357 ]
[5  4  2  1  1] :	[ 607 340 570 306 129 ]
[1  5  2  1  1] :	[ 794 896 178 908 940 ]
[2  5  2  1  1] :	[ 184 326 240 59 593 ]
[3  5  2  1  1] :	[ 897 195 545 870 370 ]
[4  5  2  1  1] :	[ 856 332 55 973 620 ]
[5  5  2  1  1] :	[ 784 362 80 413 882 ]
[1  1  3  1  1] :	[ 893 500 400 244 986 ]
[2  1  3  1  1] :	[ 452 776 736 142 861 ]
[3  1  3  1  1] :	[ 530 243 216 566 654 ]
[4  1  3  1  1] :	[ 435 180 937 135 239 ]
[5  1  3  1  1] :	[ 135 435 186 55 409 ]
[1  2  3  1  1] :	[ 573 629 697 524 864 ]
[2  2  3  1  1] :	[ 20 429 508 352 92 ]
[3  2  3  1  1] :	[ 464 565 443 394 759 ]
[4  2  3  1  1] :	[ 376 907 501 980 360 ]
[5  2  3  1  1] :	[ 49 22 66 107 274 ]
[1  3  3  1  1] :	[ 770 888 757 492 799 ]
[2  3  3  1  1] :	[ 161 593 50 716 854 ]
[3  3  3  1  1] :	[ 199 191 640 90 611 ]
[4  3  3  1  1] :	[ 356 381 680 560 983 ]
