# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644412816306
# Cmd Line:	-g CovariantGame -r -0.2 -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_5_5_6.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
# r:	-0.2
[1  1  1  1  1] :	[ 571 562 523 416 668 ]
[2  1  1  1  1] :	[ 611 492 564 318 369 ]
[3  1  1  1  1] :	[ 500 219 632 558 532 ]
[4  1  1  1  1] :	[ 550 328 689 399 530 ]
[5  1  1  1  1] :	[ 447 520 714 362 619 ]
[1  2  1  1  1] :	[ 533 657 463 590 458 ]
[2  2  1  1  1] :	[ 642 445 612 492 541 ]
[3  2  1  1  1] :	[ 474 609 599 596 508 ]
[4  2  1  1  1] :	[ 609 393 311 778 573 ]
[5  2  1  1  1] :	[ 416 532 468 675 570 ]
[1  3  1  1  1] :	[ 402 521 483 515 587 ]
[2  3  1  1  1] :	[ 611 503 501 375 685 ]
[3  3  1  1  1] :	[ 521 489 595 483 655 ]
[4  3  1  1  1] :	[ 647 184 746 426 699 ]
[5  3  1  1  1] :	[ 616 522 388 548 513 ]
[1  4  1  1  1] :	[ 580 552 383 288 618 ]
[2  4  1  1  1] :	[ 573 515 598 480 489 ]
[3  4  1  1  1] :	[ 261 479 702 510 631 ]
[4  4  1  1  1] :	[ 553 439 552 537 637 ]
[5  4  1  1  1] :	[ 517 390 508 552 480 ]
[1  5  1  1  1] :	[ 586 514 681 407 678 ]
[2  5  1  1  1] :	[ 376 720 387 562 499 ]
[3  5  1  1  1] :	[ 551 599 484 380 681 ]
[4  5  1  1  1] :	[ 427 567 584 737 488 ]
[5  5  1  1  1] :	[ 660 559 338 600 566 ]
[1  1  2  1  1] :	[ 430 485 507 416 642 ]
[2  1  2  1  1] :	[ 549 594 445 434 532 ]
[3  1  2  1  1] :	[ 503 379 593 511 409 ]
[4  1  2  1  1] :	[ 339 498 354 563 462 ]
[5  1  2  1  1] :	[ 320 320 376 583 681 ]
[1  2  2  1  1] :	[ 425 401 493 637 552 ]
[2  2  2  1  1] :	[ 268 580 492 797 345 ]
[3  2  2  1  1] :	[ 479 672 419 312 733 ]
[4  2  2  1  1] :	[ 637 602 334 290 721 ]
[5  2  2  1  1] :	[ 480 584 376 555 452 ]
[1  3  2  1  1] :	[ 617 534 480 550 611 ]
[2  3  2  1  1] :	[ 578 416 339 566 545 ]
[3  3  2  1  1] :	[ 702 370 563 437 470 ]
[4  3  2  1  1] :	[ 523 560 674 297 429 ]
[5  3  2  1  1] :	[ 467 457 501 446 626 ]
[1  4  2  1  1] :	[ 426 282 386 646 747 ]
[2  4  2  1  1] :	[ 337 693 468 608 549 ]
[3  4  2  1  1] :	[ 494 591 553 808 385 ]
[4  4  2  1  1] :	[ 476 476 723 352 480 ]
[5  4  2  1  1] :	[ 569 491 306 377 485 ]
[1  5  2  1  1] :	[ 575 696 273 578 616 ]
[2  5  2  1  1] :	[ 538 668 406 624 495 ]
[3  5  2  1  1] :	[ 459 470 446 583 645 ]
[4  5  2  1  1] :	[ 700 240 646 423 716 ]
[5  5  2  1  1] :	[ 217 665 589 657 564 ]
[1  1  3  1  1] :	[ 587 376 414 507 562 ]
[2  1  3  1  1] :	[ 672 508 380 345 555 ]
[3  1  3  1  1] :	[ 491 760 521 278 494 ]
[4  1  3  1  1] :	[ 656 371 386 549 581 ]
[5  1  3  1  1] :	[ 464 533 508 601 507 ]
[1  2  3  1  1] :	[ 436 431 562 603 480 ]
[2  2  3  1  1] :	[ 595 532 356 563 496 ]
[3  2  3  1  1] :	[ 499 763 580 390 497 ]
[4  2  3  1  1] :	[ 733 295 512 314 788 ]
[5  2  3  1  1] :	[ 758 726 444 277 421 ]
[1  3  3  1  1] :	[ 517 668 461 237 604 ]
[2  3  3  1  1] :	[ 405 686 651 300 482 ]
[3  3  3  1  1] :	[ 644 583 573 462 311 ]
[4  3  3  1  1] :	[ 738 510 494 705 331 ]
[5  3  3  1  1] :	[ 776 289 510 324 667 ]
[1  4  3  1  1] :	[ 722 412 456 585 462 ]
[2  4  3  1  1] :	[ 711 661 320 620 506 ]
[3  4  3  1  1] :	[ 459 618 615 248 523 ]
[4  4  3  1  1] :	[ 522 384 684 457 570 ]
[5  4  3  1  1] :	[ 456 603 608 453 669 ]
[1  5  3  1  1] :	[ 498 692 198 744 695 ]
[2  5  3  1  1] :	[ 483 407 332 899 570 ]
[3  5  3  1  1] :	[ 174 659 551 403 524 ]
[4  5  3  1  1] :	[ 569 543 544 359 516 ]
[5  5  3  1  1] :	[ 598 459 633 491 590 ]
[1  1  4  1  1] :	[ 673 594 467 512 362 ]
[2  1  4  1  1] :	[ 426 542 560 562 419 ]
[3  1  4  1  1] :	[ 252 598 497 400 646 ]
[4  1  4  1  1] :	[ 456 483 443 638 511 ]
[5  1  4  1  1] :	[ 776 604 351 589 308 ]
[1  2  4  1  1] :	[ 371 654 397 672 469 ]
[2  2  4  1  1] :	[ 691 349 503 741 339 ]
[3  2  4  1  1] :	[ 717 366 505 637 316 ]
[4  2  4  1  1] :	[ 508 552 476 481 462 ]
[5  2  4  1  1] :	[ 416 695 511 266 625 ]
[1  3  4  1  1] :	[ 235 910 510 624 367 ]
[2  3  4  1  1] :	[ 517 557 378 754 543 ]
[3  3  4  1  1] :	[ 541 272 443 553 901 ]
[4  3  4  1  1] :	[ 603 651 640 385 413 ]
[5  3  4  1  1] :	[ 678 357 483 633 435 ]
[1  4  4  1  1] :	[ 472 635 624 567 504 ]
[2  4  4  1  1] :	[ 573 511 356 580 419 ]
[3  4  4  1  1] :	[ 789 184 634 739 596 ]
[4  4  4  1  1] :	[ 450 309 666 450 417 ]
[5  4  4  1  1] :	[ 603 462 515 377 627 ]
[1  5  4  1  1] :	[ 419 571 643 469 556 ]
[2  5  4  1  1] :	[ 441 584 475 514 533 ]
[3  5  4  1  1] :	[ 372 333 630 649 691 ]
[4  5  4  1  1] :	[ 604 318 375 613 582 ]
[5  5  4  1  1] :	[ 247 649 666 528 515 ]
[1  1  5  1  1] :	[ 581 412 532 415 582 ]
[2  1  5  1  1] :	[ 543 336 568 397 709 ]
[3  1  5  1  1] :	[ 498 449 561 466 560 ]
[4  1  5  1  1] :	[ 672 670 358 670 303 ]
[5  1  5  1  1] :	[ 505 622 680 408 427 ]
[1  2  5  1  1] :	[ 626 297 515 644 663 ]
[2  2  5  1  1] :	[ 580 319 435 649 547 ]
[3  2  5  1  1] :	[ 362 542 598 514 713 ]
[4  2  5  1  1] :	[ 516 607 656 312 666 ]
[5  2  5  1  1] :	[ 461 532 534 516 661 ]
[1  3  5  1  1] :	[ 679 732 379 416 471 ]
[2  3  5  1  1] :	[ 708 548 453 370 416 ]
[3  3  5  1  1] :	[ 771 615 398 271 494 ]
[4  3  5  1  1] :	[ 440 564 788 438 562 ]
[5  3  5  1  1] :	[ 655 681 492 382 409 ]
[1  4  5  1  1] :	[ 315 582 617 461 661 ]
[2  4  5  1  1] :	[ 721 523 507 351 513 ]
[3  4  5  1  1] :	[ 493 367 843 481 421 ]
[4  4  5  1  1] :	[ 587 719 393 466 447 ]
[5  4  5  1  1] :	[ 702 470 471 575 473 ]
[1  5  5  1  1] :	[ 653 327 478 666 377 ]
[2  5  5  1  1] :	[ 520 323 576 570 604 ]
[3  5  5  1  1] :	[ 622 551 289 510 625 ]
[4  5  5  1  1] :	[ 354 689 298 658 443 ]
[5  5  5  1  1] :	[ 556 454 505 338 642 ]
[1  1  1  2  1] :	[ 498 666 621 484 518 ]
[2  1  1  2  1] :	[ 389 567 529 400 634 ]
[3  1  1  2  1] :	[ 739 416 786 428 416 ]
[4  1  1  2  1] :	[ 569 577 535 507 534 ]
[5  1  1  2  1] :	[ 482 567 580 638 486 ]
[1  2  1  2  1] :	[ 445 655 338 437 751 ]
[2  2  1  2  1] :	[ 534 501 645 346 608 ]
[3  2  1  2  1] :	[ 729 400 468 415 660 ]
[4  2  1  2  1] :	[ 544 783 592 492 372 ]
[5  2  1  2  1] :	[ 483 579 561 541 656 ]
[1  3  1  2  1] :	[ 367 488 510 663 415 ]
[2  3  1  2  1] :	[ 563 357 376 429 613 ]
[3  3  1  2  1] :	[ 640 356 591 348 560 ]
[4  3  1  2  1] :	[ 564 463 500 436 739 ]
[5  3  1  2  1] :	[ 655 482 576 594 295 ]
[1  4  1  2  1] :	[ 548 582 745 445 360 ]
[2  4  1  2  1] :	[ 776 567 432 454 587 ]
[3  4  1  2  1] :	[ 732 545 479 428 795 ]
