# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1652520752248
# Cmd Line:	-g RandomGame -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f RG_multi_3_5_2.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
[1  1  1] :	[ 80 40 13 ]
[2  1  1] :	[ 22 14 50 ]
[3  1  1] :	[ 69 26 5 ]
[4  1  1] :	[ 2 16 20 ]
[5  1  1] :	[ 31 70 69 ]
[1  2  1] :	[ 20 69 15 ]
[2  2  1] :	[ 29 8 93 ]
[3  2  1] :	[ 31 80 5 ]
[4  2  1] :	[ 12 36 42 ]
[5  2  1] :	[ 74 32 65 ]
[1  3  1] :	[ 40 61 86 ]
[2  3  1] :	[ 20 24 31 ]
[3  3  1] :	[ 46 87 30 ]
[4  3  1] :	[ 97 37 71 ]
[5  3  1] :	[ 24 29 29 ]
[1  4  1] :	[ 36 37 24 ]
[2  4  1] :	[ 100 90 40 ]
[3  4  1] :	[ 78 12 22 ]
[4  4  1] :	[ 40 47 2 ]
[5  4  1] :	[ 3 46 71 ]
[1  5  1] :	[ 90 93 44 ]
[2  5  1] :	[ 100 40 83 ]
[3  5  1] :	[ 73 26 43 ]
[4  5  1] :	[ 23 28 31 ]
[5  5  1] :	[ 89 7 85 ]
[1  1  2] :	[ 92 5 97 ]
[2  1  2] :	[ 11 26 58 ]
[3  1  2] :	[ 5 76 95 ]
[4  1  2] :	[ 12 54 38 ]
[5  1  2] :	[ 18 89 98 ]
[1  2  2] :	[ 7 3 44 ]
[2  2  2] :	[ 90 35 20 ]
[3  2  2] :	[ 81 27 47 ]
[4  2  2] :	[ 46 41 52 ]
[5  2  2] :	[ 90 88 72 ]
[1  3  2] :	[ 16 79 24 ]
[2  3  2] :	[ 56 64 74 ]
[3  3  2] :	[ 91 13 38 ]
[4  3  2] :	[ 89 73 80 ]
[5  3  2] :	[ 70 81 52 ]
[1  4  2] :	[ 26 56 64 ]
[2  4  2] :	[ 91 45 90 ]
[3  4  2] :	[ 62 80 23 ]
[4  4  2] :	[ 75 49 32 ]
[5  4  2] :	[ 95 14 4 ]
[1  5  2] :	[ 22 19 17 ]
[2  5  2] :	[ 40 22 79 ]
[3  5  2] :	[ 80 43 79 ]
[4  5  2] :	[ 87 100 25 ]
[5  5  2] :	[ 61 9 29 ]
[1  1  3] :	[ 34 92 24 ]
[2  1  3] :	[ 6 91 3 ]
[3  1  3] :	[ 80 9 13 ]
[4  1  3] :	[ 79 20 44 ]
[5  1  3] :	[ 61 43 55 ]
[1  2  3] :	[ 83 21 69 ]
[2  2  3] :	[ 68 54 27 ]
[3  2  3] :	[ 40 49 70 ]
[4  2  3] :	[ 83 93 44 ]
[5  2  3] :	[ 7 98 62 ]
[1  3  3] :	[ 80 2 47 ]
[2  3  3] :	[ 99 45 94 ]
[3  3  3] :	[ 77 28 64 ]
[4  3  3] :	[ 98 42 14 ]
[5  3  3] :	[ 66 23 27 ]
[1  4  3] :	[ 92 62 87 ]
[2  4  3] :	[ 99 66 57 ]
[3  4  3] :	[ 43 8 81 ]
[4  4  3] :	[ 22 10 51 ]
[5  4  3] :	[ 47 87 77 ]
[1  5  3] :	[ 84 88 75 ]
[2  5  3] :	[ 1 2 74 ]
[3  5  3] :	[ 12 46 23 ]
[4  5  3] :	[ 86 53 29 ]
[5  5  3] :	[ 28 69 12 ]
[1  1  4] :	[ 90 59 8 ]
[2  1  4] :	[ 71 36 64 ]
[3  1  4] :	[ 93 54 35 ]
[4  1  4] :	[ 77 15 68 ]
[5  1  4] :	[ 19 68 70 ]
[1  2  4] :	[ 99 56 41 ]
[2  2  4] :	[ 34 9 32 ]
[3  2  4] :	[ 87 11 49 ]
[4  2  4] :	[ 40 76 58 ]
[5  2  4] :	[ 92 2 55 ]
[1  3  4] :	[ 21 9 46 ]
[2  3  4] :	[ 75 26 100 ]
[3  3  4] :	[ 96 92 32 ]
[4  3  4] :	[ 5 13 96 ]
[5  3  4] :	[ 23 22 85 ]
[1  4  4] :	[ 7 21 94 ]
[2  4  4] :	[ 64 60 77 ]
[3  4  4] :	[ 96 68 99 ]
[4  4  4] :	[ 81 45 15 ]
[5  4  4] :	[ 78 44 74 ]
[1  5  4] :	[ 77 16 73 ]
[2  5  4] :	[ 81 75 55 ]
[3  5  4] :	[ 97 2 77 ]
[4  5  4] :	[ 28 65 13 ]
[5  5  4] :	[ 5 55 67 ]
[1  1  5] :	[ 60 8 14 ]
[2  1  5] :	[ 39 3 72 ]
[3  1  5] :	[ 31 2 28 ]
[4  1  5] :	[ 54 62 31 ]
[5  1  5] :	[ 40 100 43 ]
[1  2  5] :	[ 42 39 35 ]
[2  2  5] :	[ 44 19 18 ]
[3  2  5] :	[ 31 24 28 ]
[4  2  5] :	[ 61 40 17 ]
[5  2  5] :	[ 85 35 30 ]
[1  3  5] :	[ 67 85 12 ]
[2  3  5] :	[ 67 50 16 ]
[3  3  5] :	[ 78 96 41 ]
[4  3  5] :	[ 52 88 33 ]
[5  3  5] :	[ 82 11 41 ]
[1  4  5] :	[ 69 60 56 ]
[2  4  5] :	[ 86 56 70 ]
[3  4  5] :	[ 23 93 50 ]
[4  4  5] :	[ 63 42 20 ]
[5  4  5] :	[ 44 68 41 ]
[1  5  5] :	[ 11 62 82 ]
[2  5  5] :	[ 5 81 21 ]
[3  5  5] :	[ 58 92 28 ]
[4  5  5] :	[ 24 98 3 ]
[5  5  5] :	[ 86 94 20 ]
