# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1652359371227
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f CG_multi_3_5_10.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
# r:	-0.2
[1  1  1] :	[ 60 59 33 ]
[2  1  1] :	[ 63 48 41 ]
[3  1  1] :	[ 45 42 51 ]
[4  1  1] :	[ 47 53 58 ]
[5  1  1] :	[ 53 41 55 ]
[1  2  1] :	[ 52 55 65 ]
[2  2  1] :	[ 46 60 44 ]
[3  2  1] :	[ 72 64 53 ]
[4  2  1] :	[ 65 46 33 ]
[5  2  1] :	[ 51 45 63 ]
[1  3  1] :	[ 57 46 62 ]
[2  3  1] :	[ 60 87 29 ]
[3  3  1] :	[ 69 64 23 ]
[4  3  1] :	[ 78 48 61 ]
[5  3  1] :	[ 38 66 51 ]
[1  4  1] :	[ 49 47 56 ]
[2  4  1] :	[ 71 18 52 ]
[3  4  1] :	[ 44 75 65 ]
[4  4  1] :	[ 26 62 50 ]
[5  4  1] :	[ 45 47 69 ]
[1  5  1] :	[ 62 34 40 ]
[2  5  1] :	[ 80 33 66 ]
[3  5  1] :	[ 45 33 48 ]
[4  5  1] :	[ 76 91 5 ]
[5  5  1] :	[ 80 37 53 ]
[1  1  2] :	[ 61 54 43 ]
[2  1  2] :	[ 40 57 57 ]
[3  1  2] :	[ 51 74 36 ]
[4  1  2] :	[ 44 51 73 ]
[5  1  2] :	[ 76 35 67 ]
[1  2  2] :	[ 95 46 71 ]
[2  2  2] :	[ 77 33 54 ]
[3  2  2] :	[ 55 53 45 ]
[4  2  2] :	[ 50 62 28 ]
[5  2  2] :	[ 72 50 77 ]
[1  3  2] :	[ 43 59 66 ]
[2  3  2] :	[ 45 71 82 ]
[3  3  2] :	[ 58 26 65 ]
[4  3  2] :	[ 46 67 53 ]
[5  3  2] :	[ 83 66 1 ]
[1  4  2] :	[ 52 23 43 ]
[2  4  2] :	[ 43 73 48 ]
[3  4  2] :	[ 62 22 61 ]
[4  4  2] :	[ 47 55 66 ]
[5  4  2] :	[ 46 46 73 ]
[1  5  2] :	[ 68 74 28 ]
[2  5  2] :	[ 60 69 75 ]
[3  5  2] :	[ 60 69 36 ]
[4  5  2] :	[ 47 68 70 ]
[5  5  2] :	[ 61 54 25 ]
[1  1  3] :	[ 54 81 58 ]
[2  1  3] :	[ 70 23 100 ]
[3  1  3] :	[ 41 60 54 ]
[4  1  3] :	[ 53 58 65 ]
[5  1  3] :	[ 52 60 45 ]
[1  2  3] :	[ 51 26 65 ]
[2  2  3] :	[ 24 53 35 ]
[3  2  3] :	[ 31 28 58 ]
[4  2  3] :	[ 56 30 69 ]
[5  2  3] :	[ 52 34 61 ]
[1  3  3] :	[ 57 28 29 ]
[2  3  3] :	[ 30 52 30 ]
[3  3  3] :	[ 42 67 41 ]
[4  3  3] :	[ 55 39 49 ]
[5  3  3] :	[ 57 67 25 ]
[1  4  3] :	[ 69 54 39 ]
[2  4  3] :	[ 41 67 44 ]
[3  4  3] :	[ 78 33 35 ]
[4  4  3] :	[ 36 44 87 ]
[5  4  3] :	[ 64 52 38 ]
[1  5  3] :	[ 58 79 46 ]
[2  5  3] :	[ 71 59 41 ]
[3  5  3] :	[ 32 34 79 ]
[4  5  3] :	[ 61 40 64 ]
[5  5  3] :	[ 46 55 87 ]
[1  1  4] :	[ 18 53 100 ]
[2  1  4] :	[ 21 64 52 ]
[3  1  4] :	[ 36 41 80 ]
[4  1  4] :	[ 64 51 76 ]
[5  1  4] :	[ 35 57 47 ]
[1  2  4] :	[ 64 92 68 ]
[2  2  4] :	[ 34 51 89 ]
[3  2  4] :	[ 56 53 81 ]
[4  2  4] :	[ 43 50 43 ]
[5  2  4] :	[ 40 81 76 ]
[1  3  4] :	[ 19 58 55 ]
