# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1644491377639
# Cmd Line:	-g RandomGame -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_5_5_7.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
[1  1  1  1  1] :	[ 358 875 436 735 889 ]
[2  1  1  1  1] :	[ 797 702 499 739 644 ]
[3  1  1  1  1] :	[ 109 424 160 268 529 ]
[4  1  1  1  1] :	[ 275 730 448 298 357 ]
[5  1  1  1  1] :	[ 202 541 393 281 647 ]
[1  2  1  1  1] :	[ 794 923 407 907 554 ]
[2  2  1  1  1] :	[ 292 46 158 961 18 ]
[3  2  1  1  1] :	[ 774 124 173 281 164 ]
[4  2  1  1  1] :	[ 123 816 697 799 631 ]
[5  2  1  1  1] :	[ 163 704 722 523 450 ]
[1  3  1  1  1] :	[ 186 337 482 904 680 ]
[2  3  1  1  1] :	[ 360 328 280 566 642 ]
[3  3  1  1  1] :	[ 180 114 111 528 423 ]
[4  3  1  1  1] :	[ 528 196 971 444 96 ]
[5  3  1  1  1] :	[ 782 801 957 190 943 ]
[1  4  1  1  1] :	[ 367 547 292 357 306 ]
[2  4  1  1  1] :	[ 730 913 697 315 459 ]
[3  4  1  1  1] :	[ 155 305 609 467 433 ]
[4  4  1  1  1] :	[ 794 257 292 597 74 ]
[5  4  1  1  1] :	[ 641 115 427 318 139 ]
[1  5  1  1  1] :	[ 781 561 54 490 507 ]
[2  5  1  1  1] :	[ 973 428 467 790 455 ]
[3  5  1  1  1] :	[ 126 152 18 985 150 ]
[4  5  1  1  1] :	[ 583 77 494 866 557 ]
[5  5  1  1  1] :	[ 65 268 308 95 817 ]
[1  1  2  1  1] :	[ 197 685 468 583 92 ]
[2  1  2  1  1] :	[ 511 690 611 579 460 ]
[3  1  2  1  1] :	[ 75 815 437 387 791 ]
[4  1  2  1  1] :	[ 968 792 467 371 53 ]
[5  1  2  1  1] :	[ 295 476 731 517 245 ]
[1  2  2  1  1] :	[ 660 637 175 664 460 ]
[2  2  2  1  1] :	[ 443 404 458 594 624 ]
[3  2  2  1  1] :	[ 109 156 672 843 650 ]
[4  2  2  1  1] :	[ 195 541 262 566 335 ]
[5  2  2  1  1] :	[ 30 383 431 617 618 ]
[1  3  2  1  1] :	[ 968 678 194 849 461 ]
