# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644412825726
# Cmd Line:	-g CovariantGame -r -0.2 -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_5_5_9.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
# r:	-0.2
[1  1  1  1  1] :	[ 355 640 574 509 459 ]
[2  1  1  1  1] :	[ 377 612 590 236 639 ]
[3  1  1  1  1] :	[ 501 552 547 619 246 ]
[4  1  1  1  1] :	[ 359 420 548 551 719 ]
[5  1  1  1  1] :	[ 414 602 485 435 479 ]
[1  2  1  1  1] :	[ 584 531 312 600 218 ]
[2  2  1  1  1] :	[ 349 540 686 562 338 ]
[3  2  1  1  1] :	[ 708 598 440 328 543 ]
[4  2  1  1  1] :	[ 379 492 521 577 327 ]
[5  2  1  1  1] :	[ 396 716 442 336 428 ]
[1  3  1  1  1] :	[ 480 561 601 508 434 ]
[2  3  1  1  1] :	[ 471 506 445 529 251 ]
[3  3  1  1  1] :	[ 528 380 394 790 326 ]
[4  3  1  1  1] :	[ 795 544 139 521 625 ]
[5  3  1  1  1] :	[ 449 498 484 423 494 ]
[1  4  1  1  1] :	[ 672 458 498 348 464 ]
[2  4  1  1  1] :	[ 338 375 854 650 349 ]
[3  4  1  1  1] :	[ 539 378 746 439 431 ]
[4  4  1  1  1] :	[ 607 358 527 487 434 ]
[5  4  1  1  1] :	[ 603 488 514 363 517 ]
[1  5  1  1  1] :	[ 194 407 691 607 527 ]
[2  5  1  1  1] :	[ 405 507 427 713 497 ]
[3  5  1  1  1] :	[ 617 498 406 524 421 ]
[4  5  1  1  1] :	[ 488 449 579 593 338 ]
[5  5  1  1  1] :	[ 351 540 704 608 322 ]
[1  1  2  1  1] :	[ 652 340 522 296 601 ]
[2  1  2  1  1] :	[ 276 569 598 300 641 ]
[3  1  2  1  1] :	[ 598 634 374 426 452 ]
[4  1  2  1  1] :	[ 516 450 720 523 274 ]
[5  1  2  1  1] :	[ 348 519 269 643 588 ]
[1  2  2  1  1] :	[ 363 363 697 454 528 ]
[2  2  2  1  1] :	[ 276 794 558 381 411 ]
[3  2  2  1  1] :	[ 314 476 632 608 595 ]
[4  2  2  1  1] :	[ 464 252 493 637 565 ]
[5  2  2  1  1] :	[ 541 460 444 535 580 ]
[1  3  2  1  1] :	[ 548 541 521 209 409 ]
[2  3  2  1  1] :	[ 708 479 336 416 492 ]
[3  3  2  1  1] :	[ 556 442 494 443 555 ]
[4  3  2  1  1] :	[ 660 701 460 470 158 ]
[5  3  2  1  1] :	[ 617 401 780 249 461 ]
[1  4  2  1  1] :	[ 672 303 319 556 669 ]
[2  4  2  1  1] :	[ 303 587 306 649 496 ]
[3  4  2  1  1] :	[ 239 589 568 391 604 ]
[4  4  2  1  1] :	[ 407 412 603 576 479 ]
[5  4  2  1  1] :	[ 402 549 794 252 413 ]
[1  5  2  1  1] :	[ 565 379 690 525 373 ]
[2  5  2  1  1] :	[ 405 644 459 349 598 ]
[3  5  2  1  1] :	[ 456 513 603 397 452 ]
[4  5  2  1  1] :	[ 555 415 468 668 381 ]
[5  5  2  1  1] :	[ 397 283 594 626 503 ]
[1  1  3  1  1] :	[ 399 479 456 749 367 ]
[2  1  3  1  1] :	[ 534 775 606 317 304 ]
[3  1  3  1  1] :	[ 490 724 413 225 540 ]
[4  1  3  1  1] :	[ 470 387 600 355 659 ]
[5  1  3  1  1] :	[ 190 388 617 688 524 ]
[1  2  3  1  1] :	[ 269 455 574 505 538 ]
[2  2  3  1  1] :	[ 268 594 357 614 452 ]
[3  2  3  1  1] :	[ 336 438 802 570 381 ]
[4  2  3  1  1] :	[ 458 513 494 441 565 ]
[5  2  3  1  1] :	[ 234 413 795 437 571 ]
[1  3  3  1  1] :	[ 420 479 495 545 340 ]
[2  3  3  1  1] :	[ 482 505 606 413 391 ]
[3  3  3  1  1] :	[ 385 519 351 602 581 ]
[4  3  3  1  1] :	[ 197 516 520 622 493 ]
[5  3  3  1  1] :	[ 637 475 406 584 646 ]
[1  4  3  1  1] :	[ 534 563 488 575 532 ]
[2  4  3  1  1] :	[ 731 332 720 328 364 ]
[3  4  3  1  1] :	[ 556 270 557 355 518 ]
[4  4  3  1  1] :	[ 542 520 497 501 408 ]
[5  4  3  1  1] :	[ 258 454 793 530 413 ]
[1  5  3  1  1] :	[ 529 721 395 308 545 ]
[2  5  3  1  1] :	[ 562 475 166 376 845 ]
[3  5  3  1  1] :	[ 420 474 456 427 559 ]
[4  5  3  1  1] :	[ 360 669 363 602 457 ]
[5  5  3  1  1] :	[ 376 500 603 590 245 ]
