# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644412808938
# Cmd Line:	-g CovariantGame -r -0.2 -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_5_5_3.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
# r:	-0.2
[1  1  1  1  1] :	[ 503 667 521 506 452 ]
[2  1  1  1  1] :	[ 722 519 600 393 552 ]
[3  1  1  1  1] :	[ 152 747 649 234 803 ]
[4  1  1  1  1] :	[ 522 736 425 581 257 ]
[5  1  1  1  1] :	[ 396 568 703 529 503 ]
[1  2  1  1  1] :	[ 570 650 475 373 661 ]
[2  2  1  1  1] :	[ 405 549 554 721 344 ]
[3  2  1  1  1] :	[ 777 665 643 173 523 ]
[4  2  1  1  1] :	[ 639 323 491 608 581 ]
[5  2  1  1  1] :	[ 735 365 411 514 600 ]
[1  3  1  1  1] :	[ 338 429 808 697 479 ]
[2  3  1  1  1] :	[ 545 483 588 479 284 ]
[3  3  1  1  1] :	[ 344 285 542 733 749 ]
[4  3  1  1  1] :	[ 484 332 512 493 682 ]
[5  3  1  1  1] :	[ 560 410 551 375 740 ]
[1  4  1  1  1] :	[ 604 398 384 372 545 ]
[2  4  1  1  1] :	[ 379 306 796 451 517 ]
[3  4  1  1  1] :	[ 300 391 679 500 725 ]
[4  4  1  1  1] :	[ 810 455 490 400 443 ]
[5  4  1  1  1] :	[ 750 385 641 344 463 ]
[1  5  1  1  1] :	[ 456 367 538 627 512 ]
[2  5  1  1  1] :	[ 600 406 688 668 460 ]
[3  5  1  1  1] :	[ 692 382 520 606 524 ]
[4  5  1  1  1] :	[ 744 572 493 251 520 ]
[5  5  1  1  1] :	[ 643 501 444 484 581 ]
[1  1  2  1  1] :	[ 477 529 423 467 822 ]
[2  1  2  1  1] :	[ 660 648 614 472 339 ]
[3  1  2  1  1] :	[ 408 780 439 515 628 ]
