# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1652520753952
# Cmd Line:	-g RandomGame -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f RG_multi_3_5_3.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
[1  1  1] :	[ 6 47 24 ]
[2  1  1] :	[ 52 90 93 ]
[3  1  1] :	[ 20 44 72 ]
[4  1  1] :	[ 99 15 33 ]
[5  1  1] :	[ 82 82 87 ]
[1  2  1] :	[ 23 58 40 ]
[2  2  1] :	[ 90 26 41 ]
[3  2  1] :	[ 4 57 22 ]
[4  2  1] :	[ 68 76 58 ]
[5  2  1] :	[ 68 57 70 ]
[1  3  1] :	[ 57 74 75 ]
[2  3  1] :	[ 2 48 18 ]
[3  3  1] :	[ 95 67 19 ]
[4  3  1] :	[ 10 93 51 ]
[5  3  1] :	[ 76 27 84 ]
[1  4  1] :	[ 79 98 59 ]
[2  4  1] :	[ 24 99 8 ]
[3  4  1] :	[ 9 99 21 ]
[4  4  1] :	[ 68 49 2 ]
[5  4  1] :	[ 96 74 35 ]
[1  5  1] :	[ 50 27 65 ]
[2  5  1] :	[ 17 52 11 ]
[3  5  1] :	[ 47 23 9 ]
[4  5  1] :	[ 42 85 35 ]
[5  5  1] :	[ 50 49 69 ]
[1  1  2] :	[ 89 80 17 ]
[2  1  2] :	[ 69 24 33 ]
[3  1  2] :	[ 54 4 79 ]
[4  1  2] :	[ 76 13 22 ]
[5  1  2] :	[ 79 5 99 ]
[1  2  2] :	[ 44 99 44 ]
[2  2  2] :	[ 57 48 54 ]
[3  2  2] :	[ 45 48 99 ]
[4  2  2] :	[ 22 83 13 ]
[5  2  2] :	[ 7 71 2 ]
[1  3  2] :	[ 28 55 23 ]
[2  3  2] :	[ 24 45 17 ]
[3  3  2] :	[ 50 32 43 ]
[4  3  2] :	[ 55 84 67 ]
[5  3  2] :	[ 3 55 79 ]
[1  4  2] :	[ 20 39 68 ]
[2  4  2] :	[ 64 8 55 ]
[3  4  2] :	[ 45 66 94 ]
[4  4  2] :	[ 69 42 25 ]
[5  4  2] :	[ 89 35 22 ]
[1  5  2] :	[ 44 6 45 ]
[2  5  2] :	[ 41 67 54 ]
[3  5  2] :	[ 92 8 22 ]
[4  5  2] :	[ 62 62 25 ]
[5  5  2] :	[ 99 2 57 ]
[1  1  3] :	[ 62 6 7 ]
[2  1  3] :	[ 40 29 67 ]
[3  1  3] :	[ 64 56 61 ]
[4  1  3] :	[ 24 3 8 ]
[5  1  3] :	[ 36 100 52 ]
[1  2  3] :	[ 46 39 33 ]
[2  2  3] :	[ 59 31 52 ]
[3  2  3] :	[ 49 38 53 ]
