# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1652520734842
# Cmd Line:	-g RandomGame -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f RG_multi_3_5_1.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
[1  1  1] :	[ 36 63 25 ]
[2  1  1] :	[ 73 77 33 ]
[3  1  1] :	[ 73 30 95 ]
[4  1  1] :	[ 57 31 2 ]
[5  1  1] :	[ 12 40 44 ]
[1  2  1] :	[ 88 15 98 ]
[2  2  1] :	[ 75 42 38 ]
[3  2  1] :	[ 2 37 45 ]
[4  2  1] :	[ 50 82 37 ]
[5  2  1] :	[ 47 90 23 ]
[1  3  1] :	[ 62 10 54 ]
[2  3  1] :	[ 90 40 9 ]
[3  3  1] :	[ 79 99 67 ]
[4  3  1] :	[ 92 76 11 ]
[5  3  1] :	[ 97 20 86 ]
[1  4  1] :	[ 41 39 44 ]
[2  4  1] :	[ 50 49 36 ]
[3  4  1] :	[ 50 22 75 ]
[4  4  1] :	[ 49 72 67 ]
[5  4  1] :	[ 52 95 33 ]
[1  5  1] :	[ 39 2 59 ]
[2  5  1] :	[ 88 38 97 ]
[3  5  1] :	[ 20 50 29 ]
[4  5  1] :	[ 41 15 51 ]
[5  5  1] :	[ 89 31 91 ]
[1  1  2] :	[ 75 58 89 ]
[2  1  2] :	[ 81 13 51 ]
[3  1  2] :	[ 60 65 9 ]
[4  1  2] :	[ 6 74 4 ]
[5  1  2] :	[ 75 30 18 ]
[1  2  2] :	[ 12 14 22 ]
[2  2  2] :	[ 71 11 28 ]
[3  2  2] :	[ 70 67 76 ]
[4  2  2] :	[ 48 8 35 ]
[5  2  2] :	[ 66 3 57 ]
[1  3  2] :	[ 6 4 26 ]
[2  3  2] :	[ 95 40 59 ]
[3  3  2] :	[ 94 3 99 ]
[4  3  2] :	[ 97 84 78 ]
[5  3  2] :	[ 48 81 5 ]
[1  4  2] :	[ 32 45 5 ]
[2  4  2] :	[ 14 14 43 ]
[3  4  2] :	[ 25 29 47 ]
[4  4  2] :	[ 37 57 95 ]
[5  4  2] :	[ 99 95 18 ]
[1  5  2] :	[ 86 40 10 ]
[2  5  2] :	[ 85 47 1 ]
[3  5  2] :	[ 53 55 55 ]
[4  5  2] :	[ 93 56 13 ]
[5  5  2] :	[ 58 81 72 ]
[1  1  3] :	[ 11 77 73 ]
[2  1  3] :	[ 49 95 93 ]
[3  1  3] :	[ 51 26 37 ]
[4  1  3] :	[ 39 10 31 ]
[5  1  3] :	[ 30 76 51 ]
[1  2  3] :	[ 59 79 37 ]
[2  2  3] :	[ 28 42 91 ]
[3  2  3] :	[ 78 32 90 ]
[4  2  3] :	[ 65 85 61 ]
[5  2  3] :	[ 81 49 84 ]
[1  3  3] :	[ 89 52 53 ]
[2  3  3] :	[ 37 62 52 ]
[3  3  3] :	[ 66 20 70 ]
[4  3  3] :	[ 37 40 12 ]
[5  3  3] :	[ 11 21 2 ]
[1  4  3] :	[ 37 64 5 ]
[2  4  3] :	[ 60 57 57 ]
[3  4  3] :	[ 89 53 8 ]
[4  4  3] :	[ 44 33 43 ]
