# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1652359368609
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f CG_multi_3_5_9.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
# r:	-0.2
[1  1  1] :	[ 55 23 60 ]
[2  1  1] :	[ 58 56 57 ]
[3  1  1] :	[ 63 40 50 ]
[4  1  1] :	[ 42 75 36 ]
[5  1  1] :	[ 42 39 47 ]
[1  2  1] :	[ 56 62 45 ]
[2  2  1] :	[ 68 49 33 ]
[3  2  1] :	[ 48 38 58 ]
[4  2  1] :	[ 31 50 54 ]
[5  2  1] :	[ 17 82 53 ]
[1  3  1] :	[ 55 43 66 ]
[2  3  1] :	[ 68 28 32 ]
[3  3  1] :	[ 68 35 56 ]
[4  3  1] :	[ 50 26 50 ]
[5  3  1] :	[ 57 40 58 ]
[1  4  1] :	[ 46 47 26 ]
[2  4  1] :	[ 28 81 45 ]
[3  4  1] :	[ 43 77 15 ]
[4  4  1] :	[ 70 33 46 ]
[5  4  1] :	[ 45 26 46 ]
[1  5  1] :	[ 43 52 42 ]
[2  5  1] :	[ 54 67 39 ]
[3  5  1] :	[ 61 56 56 ]
[4  5  1] :	[ 59 47 30 ]
[5  5  1] :	[ 37 100 31 ]
[1  1  2] :	[ 60 71 22 ]
[2  1  2] :	[ 38 61 55 ]
[3  1  2] :	[ 56 39 62 ]
[4  1  2] :	[ 34 34 42 ]
[5  1  2] :	[ 48 30 62 ]
[1  2  2] :	[ 25 56 62 ]
[2  2  2] :	[ 39 51 42 ]
[3  2  2] :	[ 24 52 75 ]
[4  2  2] :	[ 44 51 68 ]
[5  2  2] :	[ 54 50 35 ]
[1  3  2] :	[ 53 37 79 ]
[2  3  2] :	[ 36 43 51 ]
[3  3  2] :	[ 62 47 50 ]
[4  3  2] :	[ 26 73 39 ]
[5  3  2] :	[ 22 79 60 ]
[1  4  2] :	[ 40 28 57 ]
[2  4  2] :	[ 43 70 36 ]
[3  4  2] :	[ 62 69 41 ]
[4  4  2] :	[ 50 38 37 ]
[5  4  2] :	[ 42 53 41 ]
[1  5  2] :	[ 84 34 36 ]
[2  5  2] :	[ 56 51 67 ]
[3  5  2] :	[ 35 65 41 ]
[4  5  2] :	[ 43 36 49 ]
[5  5  2] :	[ 73 39 41 ]
[1  1  3] :	[ 64 38 42 ]
[2  1  3] :	[ 63 56 11 ]
[3  1  3] :	[ 40 37 42 ]
[4  1  3] :	[ 49 41 72 ]
[5  1  3] :	[ 44 55 40 ]
[1  2  3] :	[ 31 64 27 ]
[2  2  3] :	[ 78 44 38 ]
[3  2  3] :	[ 37 22 77 ]
[4  2  3] :	[ 50 57 47 ]
[5  2  3] :	[ 79 84 36 ]
[1  3  3] :	[ 46 73 74 ]
[2  3  3] :	[ 37 77 31 ]
[3  3  3] :	[ 28 47 23 ]
[4  3  3] :	[ 38 62 30 ]
[5  3  3] :	[ 86 47 39 ]
[1  4  3] :	[ 54 65 48 ]
[2  4  3] :	[ 37 54 67 ]
[3  4  3] :	[ 20 53 71 ]
[4  4  3] :	[ 44 49 75 ]
[5  4  3] :	[ 52 51 5 ]
[1  5  3] :	[ 65 64 59 ]
[2  5  3] :	[ 40 28 86 ]
[3  5  3] :	[ 46 26 58 ]
[4  5  3] :	[ 79 28 43 ]
[5  5  3] :	[ 31 75 21 ]
[1  1  4] :	[ 67 39 29 ]
[2  1  4] :	[ 32 64 62 ]
[3  1  4] :	[ 32 32 70 ]
[4  1  4] :	[ 80 68 33 ]
[5  1  4] :	[ 78 37 55 ]
[1  2  4] :	[ 78 43 57 ]
[2  2  4] :	[ 52 37 22 ]
[3  2  4] :	[ 36 64 41 ]
[4  2  4] :	[ 55 53 61 ]
[5  2  4] :	[ 57 92 39 ]
[1  3  4] :	[ 64 63 35 ]
[2  3  4] :	[ 57 42 32 ]
[3  3  4] :	[ 28 39 47 ]
[4  3  4] :	[ 50 37 67 ]
[5  3  4] :	[ 48 48 68 ]
[1  4  4] :	[ 53 68 62 ]
