# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1644491344343
# Cmd Line:	-g RandomGame -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_5_5_2.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
[1  1  1  1  1] :	[ 602 822 587 914 756 ]
[2  1  1  1  1] :	[ 616 133 351 543 341 ]
[3  1  1  1  1] :	[ 416 304 39 616 86 ]
[4  1  1  1  1] :	[ 730 945 209 414 452 ]
[5  1  1  1  1] :	[ 989 638 954 389 780 ]
[1  2  1  1  1] :	[ 163 267 771 180 773 ]
[2  2  1  1  1] :	[ 595 982 503 47 461 ]
[3  2  1  1  1] :	[ 905 24 161 630 519 ]
[4  2  1  1  1] :	[ 314 930 810 21 946 ]
[5  2  1  1  1] :	[ 459 725 917 956 881 ]
[1  3  1  1  1] :	[ 934 406 228 745 876 ]
[2  3  1  1  1] :	[ 815 689 739 120 74 ]
[3  3  1  1  1] :	[ 795 854 766 956 262 ]
[4  3  1  1  1] :	[ 585 242 329 439 428 ]
[5  3  1  1  1] :	[ 485 744 46 761 672 ]
[1  4  1  1  1] :	[ 511 178 201 165 788 ]
[2  4  1  1  1] :	[ 650 608 344 368 785 ]
[3  4  1  1  1] :	[ 289 333 526 657 306 ]
[4  4  1  1  1] :	[ 405 761 703 492 34 ]
[5  4  1  1  1] :	[ 257 331 464 133 670 ]
[1  5  1  1  1] :	[ 824 895 20 166 420 ]
[2  5  1  1  1] :	[ 358 38 695 896 279 ]
[3  5  1  1  1] :	[ 559 168 403 954 326 ]
[4  5  1  1  1] :	[ 517 527 102 664 663 ]
[5  5  1  1  1] :	[ 812 117 160 24 27 ]
[1  1  2  1  1] :	[ 94 795 524 475 640 ]
[2  1  2  1  1] :	[ 377 56 586 711 333 ]
[3  1  2  1  1] :	[ 902 802 13 599 987 ]
[4  1  2  1  1] :	[ 520 982 367 689 488 ]
[5  1  2  1  1] :	[ 37 914 583 563 510 ]
[1  2  2  1  1] :	[ 623 708 214 719 545 ]
[2  2  2  1  1] :	[ 858 462 652 550 971 ]
[3  2  2  1  1] :	[ 251 61 190 880 356 ]
[4  2  2  1  1] :	[ 152 887 587 48 650 ]
[5  2  2  1  1] :	[ 954 735 668 729 260 ]
[1  3  2  1  1] :	[ 141 179 205 55 99 ]
[2  3  2  1  1] :	[ 513 417 595 642 267 ]
[3  3  2  1  1] :	[ 446 716 140 850 639 ]
[4  3  2  1  1] :	[ 425 364 740 960 946 ]
[5  3  2  1  1] :	[ 691 871 329 354 157 ]
[1  4  2  1  1] :	[ 534 945 98 916 360 ]
[2  4  2  1  1] :	[ 584 267 70 110 967 ]
[3  4  2  1  1] :	[ 409 904 22 634 61 ]
[4  4  2  1  1] :	[ 363 400 152 946 932 ]
[5  4  2  1  1] :	[ 6 152 957 239 531 ]
[1  5  2  1  1] :	[ 416 614 313 120 150 ]
[2  5  2  1  1] :	[ 703 881 463 681 173 ]
[3  5  2  1  1] :	[ 77 469 25 188 623 ]
[4  5  2  1  1] :	[ 880 170 421 907 515 ]
[5  5  2  1  1] :	[ 467 310 339 973 204 ]
[1  1  3  1  1] :	[ 996 63 785 308 119 ]
[2  1  3  1  1] :	[ 382 947 145 439 232 ]
[3  1  3  1  1] :	[ 723 525 539 657 401 ]
[4  1  3  1  1] :	[ 369 465 527 421 969 ]
[5  1  3  1  1] :	[ 237 654 911 416 622 ]
[1  2  3  1  1] :	[ 79 220 544 414 526 ]
[2  2  3  1  1] :	[ 457 722 740 935 420 ]
[3  2  3  1  1] :	[ 892 595 549 533 561 ]
[4  2  3  1  1] :	[ 876 224 577 824 700 ]
[5  2  3  1  1] :	[ 540 75 108 654 782 ]
[1  3  3  1  1] :	[ 144 43 954 66 550 ]
[2  3  3  1  1] :	[ 751 191 718 423 903 ]
[3  3  3  1  1] :	[ 435 525 844 66 35 ]
[4  3  3  1  1] :	[ 599 86 251 316 440 ]
[5  3  3  1  1] :	[ 780 73 781 234 738 ]
[1  4  3  1  1] :	[ 586 93 530 412 704 ]
[2  4  3  1  1] :	[ 304 254 270 100 354 ]
