# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644412811461
# Cmd Line:	-g CovariantGame -r -0.2 -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_5_5_4.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
# r:	-0.2
[1  1  1  1  1] :	[ 599 486 462 481 486 ]
[2  1  1  1  1] :	[ 594 347 673 439 528 ]
[3  1  1  1  1] :	[ 470 581 439 475 765 ]
[4  1  1  1  1] :	[ 438 230 595 548 621 ]
[5  1  1  1  1] :	[ 284 605 741 291 466 ]
[1  2  1  1  1] :	[ 604 421 468 492 729 ]
[2  2  1  1  1] :	[ 416 553 639 415 578 ]
[3  2  1  1  1] :	[ 377 535 543 380 605 ]
[4  2  1  1  1] :	[ 732 413 510 626 409 ]
[5  2  1  1  1] :	[ 585 364 457 629 552 ]
[1  3  1  1  1] :	[ 512 717 626 235 459 ]
[2  3  1  1  1] :	[ 512 474 401 427 616 ]
[3  3  1  1  1] :	[ 480 662 501 458 571 ]
[4  3  1  1  1] :	[ 667 592 332 450 547 ]
[5  3  1  1  1] :	[ 298 596 601 679 451 ]
[1  4  1  1  1] :	[ 545 579 240 449 679 ]
[2  4  1  1  1] :	[ 589 409 747 359 602 ]
[3  4  1  1  1] :	[ 572 537 620 297 723 ]
[4  4  1  1  1] :	[ 675 305 428 849 448 ]
[5  4  1  1  1] :	[ 432 541 527 634 642 ]
[1  5  1  1  1] :	[ 567 482 592 372 488 ]
[2  5  1  1  1] :	[ 592 231 646 282 554 ]
[3  5  1  1  1] :	[ 379 256 735 401 673 ]
[4  5  1  1  1] :	[ 575 408 438 464 721 ]
[5  5  1  1  1] :	[ 612 527 487 684 436 ]
[1  1  2  1  1] :	[ 499 560 426 484 502 ]
[2  1  2  1  1] :	[ 447 725 427 575 543 ]
[3  1  2  1  1] :	[ 578 479 579 474 573 ]
[4  1  2  1  1] :	[ 521 308 466 743 673 ]
[5  1  2  1  1] :	[ 438 634 690 509 440 ]
[1  2  2  1  1] :	[ 680 470 693 384 482 ]
[2  2  2  1  1] :	[ 482 478 468 532 598 ]
[3  2  2  1  1] :	[ 582 284 557 655 454 ]
[4  2  2  1  1] :	[ 611 384 456 533 543 ]
[5  2  2  1  1] :	[ 470 744 466 399 496 ]
[1  3  2  1  1] :	[ 286 555 693 500 563 ]
[2  3  2  1  1] :	[ 621 470 220 782 393 ]
[3  3  2  1  1] :	[ 760 524 312 403 514 ]
[4  3  2  1  1] :	[ 726 323 712 247 633 ]
