# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644574319500
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 10 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_3_10_7.txt
# Players:	3
# Actions:	10 10 10
# players:	3
# actions:	[10]
# r:	-0.2
[1  1  1] :	[ 581 677 716 ]
[2  1  1] :	[ 403 546 826 ]
[3  1  1] :	[ 300 569 451 ]
[4  1  1] :	[ 376 293 643 ]
[5  1  1] :	[ 634 580 571 ]
[6  1  1] :	[ 638 571 536 ]
[7  1  1] :	[ 451 839 407 ]
[8  1  1] :	[ 663 539 480 ]
[9  1  1] :	[ 532 519 671 ]
[10  1  1] :	[ 903 452 431 ]
[1  2  1] :	[ 626 615 559 ]
[2  2  1] :	[ 531 440 562 ]
[3  2  1] :	[ 635 431 684 ]
[4  2  1] :	[ 397 266 556 ]
[5  2  1] :	[ 413 769 622 ]
[6  2  1] :	[ 587 669 273 ]
[7  2  1] :	[ 647 494 584 ]
[8  2  1] :	[ 620 692 798 ]
[9  2  1] :	[ 535 266 490 ]
[10  2  1] :	[ 427 433 426 ]
[1  3  1] :	[ 883 435 524 ]
[2  3  1] :	[ 735 411 597 ]
[3  3  1] :	[ 669 565 606 ]
[4  3  1] :	[ 725 515 419 ]
[5  3  1] :	[ 412 584 571 ]
[6  3  1] :	[ 641 227 585 ]
[7  3  1] :	[ 604 343 619 ]
[8  3  1] :	[ 587 160 468 ]
[9  3  1] :	[ 343 687 727 ]
[10  3  1] :	[ 534 532 488 ]
[1  4  1] :	[ 497 720 649 ]
[2  4  1] :	[ 450 342 880 ]
[3  4  1] :	[ 309 486 487 ]
[4  4  1] :	[ 634 379 367 ]
[5  4  1] :	[ 172 616 654 ]
[6  4  1] :	[ 534 624 525 ]
[7  4  1] :	[ 617 537 556 ]
[8  4  1] :	[ 480 487 552 ]
[9  4  1] :	[ 722 429 448 ]
[10  4  1] :	[ 533 336 603 ]
[1  5  1] :	[ 309 509 743 ]
[2  5  1] :	[ 534 422 199 ]
[3  5  1] :	[ 243 669 558 ]
[4  5  1] :	[ 663 692 569 ]
[5  5  1] :	[ 496 368 433 ]
[6  5  1] :	[ 686 433 501 ]
[7  5  1] :	[ 682 630 318 ]
[8  5  1] :	[ 685 502 322 ]
[9  5  1] :	[ 369 703 620 ]
[10  5  1] :	[ 182 466 686 ]
[1  6  1] :	[ 667 473 319 ]
[2  6  1] :	[ 581 697 578 ]
[3  6  1] :	[ 702 633 492 ]
[4  6  1] :	[ 823 731 326 ]
[5  6  1] :	[ 486 492 415 ]
[6  6  1] :	[ 453 310 529 ]
[7  6  1] :	[ 463 317 592 ]
[8  6  1] :	[ 592 633 477 ]
[9  6  1] :	[ 343 750 508 ]
[10  6  1] :	[ 882 457 434 ]
[1  7  1] :	[ 409 510 608 ]
[2  7  1] :	[ 518 574 423 ]
[3  7  1] :	[ 343 362 438 ]
[4  7  1] :	[ 336 493 887 ]
[5  7  1] :	[ 297 467 604 ]
[6  7  1] :	[ 988 647 398 ]
[7  7  1] :	[ 790 502 682 ]
[8  7  1] :	[ 454 839 583 ]
[9  7  1] :	[ 378 696 494 ]
[10  7  1] :	[ 395 703 458 ]
[1  8  1] :	[ 621 690 478 ]
[2  8  1] :	[ 605 524 282 ]
[3  8  1] :	[ 383 439 673 ]
[4  8  1] :	[ 293 659 675 ]
[5  8  1] :	[ 456 220 583 ]
[6  8  1] :	[ 759 548 466 ]
[7  8  1] :	[ 484 715 520 ]
[8  8  1] :	[ 457 541 638 ]
[9  8  1] :	[ 556 501 576 ]
[10  8  1] :	[ 492 567 667 ]
[1  9  1] :	[ 743 533 525 ]
[2  9  1] :	[ 224 687 402 ]
[3  9  1] :	[ 475 751 355 ]
[4  9  1] :	[ 468 421 688 ]
[5  9  1] :	[ 306 515 640 ]
[6  9  1] :	[ 770 477 546 ]
[7  9  1] :	[ 514 514 593 ]
[8  9  1] :	[ 560 610 562 ]
[9  9  1] :	[ 516 540 655 ]
[10  9  1] :	[ 768 234 469 ]
[1  10  1] :	[ 515 414 347 ]
[2  10  1] :	[ 624 456 460 ]
[3  10  1] :	[ 690 725 683 ]
[4  10  1] :	[ 682 794 340 ]
[5  10  1] :	[ 580 753 431 ]
[6  10  1] :	[ 623 644 506 ]
[7  10  1] :	[ 571 353 618 ]
[8  10  1] :	[ 644 511 273 ]
[9  10  1] :	[ 498 760 394 ]
[10  10  1] :	[ 590 735 637 ]
[1  1  2] :	[ 549 583 574 ]
[2  1  2] :	[ 357 602 424 ]
