# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1652359357570
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f CG_multi_3_5_4.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
# r:	-0.2
[1  1  1] :	[ 28 53 71 ]
[2  1  1] :	[ 33 47 48 ]
[3  1  1] :	[ 42 43 89 ]
[4  1  1] :	[ 21 47 59 ]
[5  1  1] :	[ 34 46 48 ]
[1  2  1] :	[ 49 9 68 ]
[2  2  1] :	[ 72 44 55 ]
[3  2  1] :	[ 62 57 49 ]
[4  2  1] :	[ 45 37 49 ]
[5  2  1] :	[ 62 70 30 ]
[1  3  1] :	[ 63 54 30 ]
[2  3  1] :	[ 19 63 38 ]
[3  3  1] :	[ 41 28 51 ]
[4  3  1] :	[ 41 14 49 ]
[5  3  1] :	[ 48 77 46 ]
[1  4  1] :	[ 51 52 34 ]
[2  4  1] :	[ 55 64 70 ]
[3  4  1] :	[ 49 68 68 ]
[4  4  1] :	[ 61 68 41 ]
[5  4  1] :	[ 40 60 56 ]
[1  5  1] :	[ 44 81 38 ]
[2  5  1] :	[ 65 75 34 ]
[3  5  1] :	[ 65 19 31 ]
[4  5  1] :	[ 49 30 61 ]
[5  5  1] :	[ 46 18 67 ]
[1  1  2] :	[ 45 50 70 ]
[2  1  2] :	[ 47 61 35 ]
[3  1  2] :	[ 51 77 43 ]
[4  1  2] :	[ 41 53 49 ]
[5  1  2] :	[ 43 47 64 ]
[1  2  2] :	[ 81 22 42 ]
[2  2  2] :	[ 40 66 55 ]
[3  2  2] :	[ 41 44 48 ]
[4  2  2] :	[ 69 33 62 ]
[5  2  2] :	[ 49 68 47 ]
[1  3  2] :	[ 59 54 66 ]
[2  3  2] :	[ 49 44 42 ]
[3  3  2] :	[ 36 41 38 ]
[4  3  2] :	[ 39 69 20 ]
[5  3  2] :	[ 30 75 28 ]
[1  4  2] :	[ 61 40 33 ]
[2  4  2] :	[ 52 36 72 ]
[3  4  2] :	[ 57 64 44 ]
[4  4  2] :	[ 100 28 30 ]
[5  4  2] :	[ 72 4 58 ]
[1  5  2] :	[ 52 69 21 ]
[2  5  2] :	[ 42 11 94 ]
[3  5  2] :	[ 21 22 52 ]
[4  5  2] :	[ 61 35 63 ]
[5  5  2] :	[ 40 61 22 ]
[1  1  3] :	[ 59 46 88 ]
[2  1  3] :	[ 15 54 63 ]
[3  1  3] :	[ 50 55 52 ]
[4  1  3] :	[ 60 42 74 ]
[5  1  3] :	[ 72 39 76 ]
[1  2  3] :	[ 73 33 51 ]
[2  2  3] :	[ 58 54 60 ]
[3  2  3] :	[ 38 68 82 ]
[4  2  3] :	[ 56 38 27 ]
[5  2  3] :	[ 51 47 24 ]
[1  3  3] :	[ 48 42 32 ]
[2  3  3] :	[ 53 50 84 ]
[3  3  3] :	[ 23 52 39 ]
[4  3  3] :	[ 34 56 89 ]
[5  3  3] :	[ 59 58 45 ]
[1  4  3] :	[ 57 32 37 ]
[2  4  3] :	[ 49 62 74 ]
[3  4  3] :	[ 50 69 51 ]
[4  4  3] :	[ 58 3 47 ]
[5  4  3] :	[ 46 44 27 ]
[1  5  3] :	[ 21 63 31 ]
[2  5  3] :	[ 34 30 67 ]
[3  5  3] :	[ 38 55 44 ]
[4  5  3] :	[ 43 53 39 ]
[5  5  3] :	[ 58 25 71 ]
[1  1  4] :	[ 40 54 42 ]
[2  1  4] :	[ 53 39 32 ]
[3  1  4] :	[ 33 59 39 ]
[4  1  4] :	[ 19 42 83 ]
[5  1  4] :	[ 56 52 51 ]
[1  2  4] :	[ 34 39 72 ]
[2  2  4] :	[ 43 54 59 ]
[3  2  4] :	[ 45 67 18 ]
[4  2  4] :	[ 50 22 46 ]
[5  2  4] :	[ 75 59 18 ]
[1  3  4] :	[ 31 30 33 ]
[2  3  4] :	[ 56 95 34 ]
[3  3  4] :	[ 37 65 42 ]
[4  3  4] :	[ 22 94 56 ]
[5  3  4] :	[ 80 27 60 ]
[1  4  4] :	[ 67 43 64 ]
[2  4  4] :	[ 42 57 38 ]
[3  4  4] :	[ 50 50 31 ]
[4  4  4] :	[ 24 60 45 ]
[5  4  4] :	[ 50 63 41 ]
[1  5  4] :	[ 67 72 49 ]
[2  5  4] :	[ 56 33 65 ]
[3  5  4] :	[ 51 63 35 ]
[4  5  4] :	[ 64 47 60 ]
[5  5  4] :	[ 45 63 41 ]
[1  1  5] :	[ 92 50 52 ]
[2  1  5] :	[ 38 58 44 ]
[3  1  5] :	[ 58 74 56 ]
[4  1  5] :	[ 22 73 62 ]
[5  1  5] :	[ 26 55 54 ]
[1  2  5] :	[ 76 55 3 ]
[2  2  5] :	[ 56 57 56 ]
[3  2  5] :	[ 57 26 8 ]
[4  2  5] :	[ 60 1 80 ]
[5  2  5] :	[ 43 50 21 ]
[1  3  5] :	[ 64 12 62 ]
[2  3  5] :	[ 35 75 39 ]
[3  3  5] :	[ 61 51 18 ]
[4  3  5] :	[ 48 45 66 ]
[5  3  5] :	[ 66 44 51 ]
[1  4  5] :	[ 57 24 61 ]
[2  4  5] :	[ 39 43 23 ]
[3  4  5] :	[ 35 55 76 ]
[4  4  5] :	[ 58 67 24 ]
[5  4  5] :	[ 44 67 55 ]
[1  5  5] :	[ 53 62 13 ]
[2  5  5] :	[ 26 54 64 ]
[3  5  5] :	[ 55 49 32 ]
[4  5  5] :	[ 46 78 31 ]
[5  5  5] :	[ 59 68 23 ]
