# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1652359359800
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f CG_multi_3_5_5.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
# r:	-0.2
[1  1  1] :	[ 58 63 80 ]
[2  1  1] :	[ 29 40 62 ]
[3  1  1] :	[ 54 79 28 ]
[4  1  1] :	[ 40 36 79 ]
[5  1  1] :	[ 46 58 41 ]
[1  2  1] :	[ 58 33 75 ]
[2  2  1] :	[ 66 45 64 ]
[3  2  1] :	[ 34 99 58 ]
[4  2  1] :	[ 61 72 49 ]
[5  2  1] :	[ 26 44 63 ]
[1  3  1] :	[ 92 70 49 ]
[2  3  1] :	[ 67 48 48 ]
[3  3  1] :	[ 92 56 52 ]
[4  3  1] :	[ 66 83 28 ]
[5  3  1] :	[ 69 58 31 ]
[1  4  1] :	[ 63 79 58 ]
[2  4  1] :	[ 46 29 82 ]
[3  4  1] :	[ 52 74 49 ]
[4  4  1] :	[ 60 45 85 ]
[5  4  1] :	[ 53 73 23 ]
[1  5  1] :	[ 30 66 83 ]
[2  5  1] :	[ 65 55 21 ]
[3  5  1] :	[ 85 44 37 ]
[4  5  1] :	[ 63 63 82 ]
[5  5  1] :	[ 85 73 42 ]
[1  1  2] :	[ 71 55 78 ]
[2  1  2] :	[ 21 52 69 ]
[3  1  2] :	[ 60 57 21 ]
[4  1  2] :	[ 63 29 88 ]
[5  1  2] :	[ 65 61 69 ]
[1  2  2] :	[ 58 48 66 ]
[2  2  2] :	[ 94 77 41 ]
[3  2  2] :	[ 51 59 77 ]
[4  2  2] :	[ 54 45 60 ]
[5  2  2] :	[ 34 72 98 ]
[1  3  2] :	[ 78 61 94 ]
[2  3  2] :	[ 46 75 71 ]
[3  3  2] :	[ 40 82 29 ]
[4  3  2] :	[ 60 70 35 ]
[5  3  2] :	[ 59 37 61 ]
[1  4  2] :	[ 92 50 73 ]
[2  4  2] :	[ 51 78 53 ]
[3  4  2] :	[ 63 74 57 ]
[4  4  2] :	[ 50 41 57 ]
[5  4  2] :	[ 67 76 47 ]
[1  5  2] :	[ 66 85 60 ]
[2  5  2] :	[ 66 74 34 ]
[3  5  2] :	[ 52 53 60 ]
[4  5  2] :	[ 77 31 69 ]
[5  5  2] :	[ 21 73 50 ]
[1  1  3] :	[ 60 83 49 ]
[2  1  3] :	[ 56 59 49 ]
[3  1  3] :	[ 83 55 87 ]
[4  1  3] :	[ 34 95 69 ]
[5  1  3] :	[ 51 42 55 ]
[1  2  3] :	[ 55 73 51 ]
[2  2  3] :	[ 51 44 57 ]
[3  2  3] :	[ 64 46 85 ]
[4  2  3] :	[ 64 55 65 ]
[5  2  3] :	[ 61 54 64 ]
[1  3  3] :	[ 74 82 28 ]
[2  3  3] :	[ 65 56 27 ]
[3  3  3] :	[ 41 61 38 ]
[4  3  3] :	[ 66 49 84 ]
[5  3  3] :	[ 78 57 59 ]
[1  4  3] :	[ 86 38 86 ]
[2  4  3] :	[ 74 27 83 ]
[3  4  3] :	[ 57 55 44 ]
[4  4  3] :	[ 65 46 50 ]
[5  4  3] :	[ 59 25 75 ]
[1  5  3] :	[ 61 51 40 ]
[2  5  3] :	[ 49 81 48 ]
[3  5  3] :	[ 51 49 83 ]
[4  5  3] :	[ 52 52 60 ]
[5  5  3] :	[ 86 56 68 ]
[1  1  4] :	[ 77 67 40 ]
[2  1  4] :	[ 59 25 69 ]
[3  1  4] :	[ 1 100 56 ]
[4  1  4] :	[ 96 22 54 ]
[5  1  4] :	[ 52 34 66 ]
[1  2  4] :	[ 34 42 69 ]
[2  2  4] :	[ 77 40 62 ]
[3  2  4] :	[ 83 63 44 ]
[4  2  4] :	[ 67 78 61 ]
[5  2  4] :	[ 72 63 57 ]
[1  3  4] :	[ 41 39 54 ]
[2  3  4] :	[ 53 38 65 ]
[3  3  4] :	[ 54 75 80 ]
[4  3  4] :	[ 68 45 69 ]
[5  3  4] :	[ 45 80 73 ]
[1  4  4] :	[ 77 47 63 ]
[2  4  4] :	[ 51 86 31 ]
[3  4  4] :	[ 73 53 69 ]
[4  4  4] :	[ 35 74 73 ]
[5  4  4] :	[ 56 58 68 ]
[1  5  4] :	[ 24 44 65 ]
[2  5  4] :	[ 58 75 79 ]
[3  5  4] :	[ 70 56 53 ]
[4  5  4] :	[ 71 67 31 ]
[5  5  4] :	[ 35 47 92 ]
[1  1  5] :	[ 67 23 73 ]
[2  1  5] :	[ 40 63 60 ]
[3  1  5] :	[ 66 67 39 ]
[4  1  5] :	[ 49 77 68 ]
[5  1  5] :	[ 76 84 31 ]
[1  2  5] :	[ 56 37 100 ]
[2  2  5] :	[ 67 57 67 ]
[3  2  5] :	[ 74 57 48 ]
[4  2  5] :	[ 70 69 29 ]
[5  2  5] :	[ 65 31 64 ]
[1  3  5] :	[ 90 31 46 ]
[2  3  5] :	[ 65 90 53 ]
[3  3  5] :	[ 60 73 67 ]
[4  3  5] :	[ 55 36 48 ]
[5  3  5] :	[ 25 91 82 ]
[1  4  5] :	[ 70 94 41 ]
[2  4  5] :	[ 34 49 94 ]
[3  4  5] :	[ 62 33 65 ]
[4  4  5] :	[ 68 44 77 ]
[5  4  5] :	[ 52 71 67 ]
[1  5  5] :	[ 71 67 40 ]
[2  5  5] :	[ 16 75 49 ]
[3  5  5] :	[ 40 53 64 ]
[4  5  5] :	[ 36 79 70 ]
[5  5  5] :	[ 73 63 47 ]
