# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1652188575127
# Cmd Line:	-g RandomGame -players 3 -actions 10 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_3_10_9.txt
# Players:	3
# Actions:	10 10 10
# players:	3
# actions:	[10]
[1  1  1] :	[ 234 834 407 ]
[2  1  1] :	[ 65 918 479 ]
[3  1  1] :	[ 837 360 984 ]
[4  1  1] :	[ 220 656 969 ]
[5  1  1] :	[ 756 480 677 ]
[6  1  1] :	[ 254 833 886 ]
[7  1  1] :	[ 217 213 579 ]
[8  1  1] :	[ 773 372 961 ]
[9  1  1] :	[ 135 113 640 ]
[10  1  1] :	[ 253 299 804 ]
[1  2  1] :	[ 726 658 132 ]
[2  2  1] :	[ 792 637 456 ]
[3  2  1] :	[ 545 202 955 ]
[4  2  1] :	[ 540 448 390 ]
[5  2  1] :	[ 293 251 281 ]
[6  2  1] :	[ 905 509 643 ]
[7  2  1] :	[ 831 417 197 ]
[8  2  1] :	[ 654 333 25 ]
[9  2  1] :	[ 359 490 757 ]
[10  2  1] :	[ 725 901 875 ]
[1  3  1] :	[ 36 513 802 ]
[2  3  1] :	[ 906 765 313 ]
[3  3  1] :	[ 386 975 527 ]
[4  3  1] :	[ 830 79 563 ]
[5  3  1] :	[ 623 533 487 ]
[6  3  1] :	[ 772 383 202 ]
[7  3  1] :	[ 379 113 701 ]
[8  3  1] :	[ 823 408 454 ]
[9  3  1] :	[ 630 204 991 ]
[10  3  1] :	[ 962 161 379 ]
[1  4  1] :	[ 790 605 328 ]
[2  4  1] :	[ 677 693 28 ]
[3  4  1] :	[ 827 414 985 ]
[4  4  1] :	[ 605 248 283 ]
[5  4  1] :	[ 659 94 832 ]
[6  4  1] :	[ 871 483 612 ]
[7  4  1] :	[ 356 187 437 ]
[8  4  1] :	[ 531 450 767 ]
[9  4  1] :	[ 650 571 110 ]
[10  4  1] :	[ 650 798 519 ]
[1  5  1] :	[ 671 545 197 ]
[2  5  1] :	[ 981 803 549 ]
[3  5  1] :	[ 516 89 413 ]
[4  5  1] :	[ 80 91 340 ]
[5  5  1] :	[ 421 97 365 ]
[6  5  1] :	[ 549 496 240 ]
[7  5  1] :	[ 786 523 806 ]
[8  5  1] :	[ 279 900 147 ]
[9  5  1] :	[ 700 134 991 ]
[10  5  1] :	[ 500 35 767 ]
[1  6  1] :	[ 805 44 562 ]
[2  6  1] :	[ 459 371 144 ]
[3  6  1] :	[ 342 347 878 ]
[4  6  1] :	[ 935 758 575 ]
[5  6  1] :	[ 889 54 982 ]
[6  6  1] :	[ 128 937 877 ]
[7  6  1] :	[ 171 212 662 ]
[8  6  1] :	[ 621 849 30 ]
[9  6  1] :	[ 206 206 34 ]
[10  6  1] :	[ 952 578 780 ]
[1  7  1] :	[ 798 350 989 ]
[2  7  1] :	[ 566 744 866 ]
[3  7  1] :	[ 31 168 913 ]
[4  7  1] :	[ 399 653 415 ]
[5  7  1] :	[ 205 983 505 ]
[6  7  1] :	[ 638 217 509 ]
[7  7  1] :	[ 270 599 846 ]
[8  7  1] :	[ 453 882 324 ]
[9  7  1] :	[ 564 896 424 ]
[10  7  1] :	[ 792 620 565 ]
[1  8  1] :	[ 699 745 681 ]
[2  8  1] :	[ 175 1000 920 ]
[3  8  1] :	[ 670 4 751 ]
[4  8  1] :	[ 618 632 540 ]
[5  8  1] :	[ 9 870 450 ]
[6  8  1] :	[ 16 712 375 ]
[7  8  1] :	[ 166 861 761 ]
[8  8  1] :	[ 94 480 338 ]
[9  8  1] :	[ 720 551 694 ]
[10  8  1] :	[ 247 896 923 ]
[1  9  1] :	[ 47 66 87 ]
[2  9  1] :	[ 535 880 825 ]
[3  9  1] :	[ 123 661 507 ]
[4  9  1] :	[ 855 567 372 ]
[5  9  1] :	[ 100 752 692 ]
[6  9  1] :	[ 836 10 69 ]
[7  9  1] :	[ 847 574 245 ]
[8  9  1] :	[ 749 891 137 ]
[9  9  1] :	[ 806 818 202 ]
[10  9  1] :	[ 156 590 653 ]
[1  10  1] :	[ 144 903 449 ]
[2  10  1] :	[ 974 487 349 ]
[3  10  1] :	[ 757 774 500 ]
[4  10  1] :	[ 226 561 618 ]
[5  10  1] :	[ 867 687 976 ]
[6  10  1] :	[ 65 544 34 ]
[7  10  1] :	[ 969 513 6 ]
[8  10  1] :	[ 446 140 393 ]
[9  10  1] :	[ 70 681 365 ]
[10  10  1] :	[ 530 603 629 ]
[1  1  2] :	[ 419 393 30 ]
[2  1  2] :	[ 922 850 151 ]
[3  1  2] :	[ 454 946 360 ]
[4  1  2] :	[ 724 587 347 ]
[5  1  2] :	[ 938 459 498 ]
[6  1  2] :	[ 516 792 704 ]
[7  1  2] :	[ 292 589 945 ]
[8  1  2] :	[ 251 480 238 ]
[9  1  2] :	[ 950 623 735 ]
[10  1  2] :	[ 894 810 168 ]
[1  2  2] :	[ 188 29 608 ]
[2  2  2] :	[ 230 154 904 ]
[3  2  2] :	[ 773 993 426 ]
[4  2  2] :	[ 401 180 184 ]
[5  2  2] :	[ 877 704 466 ]
[6  2  2] :	[ 501 144 79 ]
[7  2  2] :	[ 44 474 572 ]
[8  2  2] :	[ 494 330 522 ]
[9  2  2] :	[ 426 611 561 ]
[10  2  2] :	[ 85 677 448 ]
[1  3  2] :	[ 439 90 217 ]
[2  3  2] :	[ 187 547 431 ]
[3  3  2] :	[ 505 601 101 ]
[4  3  2] :	[ 845 23 118 ]
[5  3  2] :	[ 166 307 863 ]
[6  3  2] :	[ 841 867 55 ]
[7  3  2] :	[ 955 676 508 ]
[8  3  2] :	[ 419 202 349 ]
[9  3  2] :	[ 777 950 818 ]
[10  3  2] :	[ 267 300 709 ]
[1  4  2] :	[ 642 54 999 ]
[2  4  2] :	[ 187 188 141 ]
[3  4  2] :	[ 540 35 367 ]
[4  4  2] :	[ 950 181 683 ]
[5  4  2] :	[ 616 72 991 ]
[6  4  2] :	[ 971 253 331 ]
[7  4  2] :	[ 168 120 399 ]
[8  4  2] :	[ 754 815 710 ]
[9  4  2] :	[ 723 325 914 ]
[10  4  2] :	[ 846 620 836 ]
[1  5  2] :	[ 813 401 168 ]
[2  5  2] :	[ 248 721 996 ]
[3  5  2] :	[ 335 830 2 ]
[4  5  2] :	[ 381 474 662 ]
[5  5  2] :	[ 177 41 123 ]
[6  5  2] :	[ 323 553 105 ]
[7  5  2] :	[ 439 181 384 ]
[8  5  2] :	[ 111 410 227 ]
[9  5  2] :	[ 277 788 162 ]
[10  5  2] :	[ 389 340 759 ]
[1  6  2] :	[ 229 995 198 ]
[2  6  2] :	[ 15 681 424 ]
