# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1652359366435
# Cmd Line:	-g CovariantGame -r -0.2 -players 3 -actions 5 -normalize -min_payoff 0.01 -max_payoff 1 -int_payoffs -int_mult 100 -f CG_multi_3_5_8.txt
# Players:	3
# Actions:	5 5 5
# players:	3
# actions:	[5]
# r:	-0.2
[1  1  1] :	[ 30 56 48 ]
[2  1  1] :	[ 62 44 33 ]
[3  1  1] :	[ 57 75 56 ]
[4  1  1] :	[ 84 17 64 ]
[5  1  1] :	[ 70 27 45 ]
[1  2  1] :	[ 45 39 24 ]
[2  2  1] :	[ 36 38 54 ]
[3  2  1] :	[ 57 24 90 ]
[4  2  1] :	[ 38 35 73 ]
[5  2  1] :	[ 82 57 42 ]
[1  3  1] :	[ 48 54 59 ]
[2  3  1] :	[ 45 53 66 ]
[3  3  1] :	[ 37 67 35 ]
[4  3  1] :	[ 76 42 63 ]
[5  3  1] :	[ 78 56 22 ]
[1  4  1] :	[ 43 29 56 ]
[2  4  1] :	[ 26 44 70 ]
[3  4  1] :	[ 53 80 39 ]
[4  4  1] :	[ 57 49 64 ]
[5  4  1] :	[ 31 59 32 ]
[1  5  1] :	[ 62 30 61 ]
[2  5  1] :	[ 72 41 46 ]
[3  5  1] :	[ 55 70 20 ]
[4  5  1] :	[ 24 49 51 ]
[5  5  1] :	[ 46 55 24 ]
[1  1  2] :	[ 87 61 30 ]
[2  1  2] :	[ 41 22 47 ]
[3  1  2] :	[ 39 64 44 ]
[4  1  2] :	[ 84 49 5 ]
[5  1  2] :	[ 36 34 33 ]
[1  2  2] :	[ 23 53 60 ]
[2  2  2] :	[ 66 49 33 ]
[3  2  2] :	[ 45 49 44 ]
[4  2  2] :	[ 30 42 47 ]
[5  2  2] :	[ 86 1 36 ]
[1  3  2] :	[ 68 36 47 ]
[2  3  2] :	[ 75 62 25 ]
[3  3  2] :	[ 22 80 43 ]
[4  3  2] :	[ 40 41 34 ]
[5  3  2] :	[ 68 42 60 ]
[1  4  2] :	[ 84 54 61 ]
[2  4  2] :	[ 61 59 45 ]
[3  4  2] :	[ 49 43 38 ]
[4  4  2] :	[ 52 80 41 ]
[5  4  2] :	[ 46 48 50 ]
[1  5  2] :	[ 50 53 85 ]
[2  5  2] :	[ 57 40 70 ]
[3  5  2] :	[ 69 62 36 ]
[4  5  2] :	[ 61 49 55 ]
[5  5  2] :	[ 40 39 81 ]
[1  1  3] :	[ 15 39 48 ]
[2  1  3] :	[ 69 6 39 ]
[3  1  3] :	[ 66 35 40 ]
[4  1  3] :	[ 51 44 47 ]
[5  1  3] :	[ 30 67 51 ]
[1  2  3] :	[ 29 55 48 ]
[2  2  3] :	[ 60 50 23 ]
[3  2  3] :	[ 85 52 25 ]
[4  2  3] :	[ 63 60 51 ]
[5  2  3] :	[ 43 64 34 ]
[1  3  3] :	[ 50 83 30 ]
[2  3  3] :	[ 27 38 45 ]
[3  3  3] :	[ 64 38 44 ]
[4  3  3] :	[ 90 37 31 ]
[5  3  3] :	[ 41 41 46 ]
[1  4  3] :	[ 77 21 60 ]
[2  4  3] :	[ 17 68 25 ]
[3  4  3] :	[ 25 70 70 ]
[4  4  3] :	[ 27 67 68 ]
[5  4  3] :	[ 19 36 63 ]
[1  5  3] :	[ 36 71 52 ]
[2  5  3] :	[ 25 74 42 ]
[3  5  3] :	[ 59 79 27 ]
[4  5  3] :	[ 27 64 63 ]
[5  5  3] :	[ 61 50 52 ]
[1  1  4] :	[ 55 67 27 ]
[2  1  4] :	[ 35 28 51 ]
[3  1  4] :	[ 25 67 38 ]
[4  1  4] :	[ 32 64 63 ]
[5  1  4] :	[ 50 14 34 ]
[1  2  4] :	[ 43 100 39 ]
[2  2  4] :	[ 42 74 19 ]
[3  2  4] :	[ 40 71 57 ]
[4  2  4] :	[ 50 12 28 ]
[5  2  4] :	[ 13 27 52 ]
[1  3  4] :	[ 43 61 19 ]
[2  3  4] :	[ 55 6 77 ]
[3  3  4] :	[ 37 55 67 ]
[4  3  4] :	[ 66 27 26 ]
[5  3  4] :	[ 15 46 67 ]
[1  4  4] :	[ 53 60 54 ]
[2  4  4] :	[ 42 74 43 ]
[3  4  4] :	[ 33 53 16 ]
[4  4  4] :	[ 63 50 52 ]
[5  4  4] :	[ 58 23 50 ]
[1  5  4] :	[ 42 45 70 ]
[2  5  4] :	[ 41 19 78 ]
[3  5  4] :	[ 64 28 55 ]
[4  5  4] :	[ 65 58 24 ]
[5  5  4] :	[ 54 56 36 ]
[1  1  5] :	[ 42 27 61 ]
[2  1  5] :	[ 55 18 47 ]
[3  1  5] :	[ 50 23 77 ]
[4  1  5] :	[ 51 29 30 ]
[5  1  5] :	[ 37 59 39 ]
[1  2  5] :	[ 87 37 60 ]
[2  2  5] :	[ 56 22 52 ]
[3  2  5] :	[ 48 55 70 ]
[4  2  5] :	[ 12 53 51 ]
[5  2  5] :	[ 44 13 19 ]
[1  3  5] :	[ 47 36 62 ]
[2  3  5] :	[ 70 47 46 ]
[3  3  5] :	[ 30 39 70 ]
[4  3  5] :	[ 33 37 65 ]
[5  3  5] :	[ 42 56 58 ]
[1  4  5] :	[ 46 27 68 ]
[2  4  5] :	[ 64 41 65 ]
[3  4  5] :	[ 44 43 82 ]
