# Generated by GAMUT v1.0.1
# A Game With Uniformly Random Payoffs
# Game Parameter Values:
# Random seed:	1652188569563
# Cmd Line:	-g RandomGame -players 3 -actions 10 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f RG_multi_3_10_7.txt
# Players:	3
# Actions:	10 10 10
# players:	3
# actions:	[10]
[1  1  1] :	[ 99 33 333 ]
[2  1  1] :	[ 240 683 277 ]
[3  1  1] :	[ 374 829 983 ]
[4  1  1] :	[ 474 7 89 ]
[5  1  1] :	[ 336 328 940 ]
[6  1  1] :	[ 821 649 624 ]
[7  1  1] :	[ 76 282 763 ]
[8  1  1] :	[ 941 520 723 ]
[9  1  1] :	[ 334 855 61 ]
[10  1  1] :	[ 430 369 721 ]
[1  2  1] :	[ 59 356 120 ]
[2  2  1] :	[ 622 799 551 ]
[3  2  1] :	[ 981 120 397 ]
[4  2  1] :	[ 887 405 210 ]
[5  2  1] :	[ 307 37 627 ]
[6  2  1] :	[ 272 309 268 ]
[7  2  1] :	[ 155 893 617 ]
[8  2  1] :	[ 368 577 116 ]
[9  2  1] :	[ 416 954 215 ]
[10  2  1] :	[ 82 693 471 ]
[1  3  1] :	[ 567 25 708 ]
[2  3  1] :	[ 439 247 296 ]
[3  3  1] :	[ 817 874 395 ]
[4  3  1] :	[ 395 680 371 ]
[5  3  1] :	[ 81 39 25 ]
[6  3  1] :	[ 33 299 890 ]
[7  3  1] :	[ 297 263 543 ]
[8  3  1] :	[ 917 478 497 ]
[9  3  1] :	[ 802 321 297 ]
[10  3  1] :	[ 73 51 565 ]
[1  4  1] :	[ 878 789 950 ]
[2  4  1] :	[ 342 559 178 ]
[3  4  1] :	[ 536 236 289 ]
[4  4  1] :	[ 156 116 440 ]
[5  4  1] :	[ 523 501 484 ]
[6  4  1] :	[ 116 969 579 ]
[7  4  1] :	[ 794 916 913 ]
[8  4  1] :	[ 815 155 709 ]
[9  4  1] :	[ 93 696 63 ]
[10  4  1] :	[ 813 234 500 ]
[1  5  1] :	[ 275 862 470 ]
[2  5  1] :	[ 515 649 5 ]
[3  5  1] :	[ 795 258 751 ]
[4  5  1] :	[ 282 616 77 ]
[5  5  1] :	[ 747 900 237 ]
[6  5  1] :	[ 571 219 598 ]
[7  5  1] :	[ 799 464 51 ]
[8  5  1] :	[ 458 814 915 ]
[9  5  1] :	[ 467 331 921 ]
[10  5  1] :	[ 781 643 498 ]
[1  6  1] :	[ 905 990 29 ]
[2  6  1] :	[ 332 350 26 ]
[3  6  1] :	[ 691 478 500 ]
[4  6  1] :	[ 509 520 527 ]
[5  6  1] :	[ 58 976 110 ]
[6  6  1] :	[ 227 653 287 ]
