# Generated by GAMUT v1.0.1
# A Game With Normal Covariant Random Payoffs
# Game Parameter Values:
# Random seed:	1644412822337
# Cmd Line:	-g CovariantGame -r -0.2 -players 5 -actions 5 -normalize -min_payoff 0.01 -max_payoff 10 -int_payoffs -int_mult 100 -f CG_multi_5_5_8.txt
# Players:	5
# Actions:	5 5 5 5 5
# players:	5
# actions:	[5]
# r:	-0.2
[1  1  1  1  1] :	[ 584 435 551 706 374 ]
[2  1  1  1  1] :	[ 499 561 455 599 378 ]
[3  1  1  1  1] :	[ 702 371 683 722 176 ]
[4  1  1  1  1] :	[ 354 630 554 451 410 ]
[5  1  1  1  1] :	[ 507 308 529 662 527 ]
[1  2  1  1  1] :	[ 580 421 586 399 421 ]
[2  2  1  1  1] :	[ 640 487 358 571 417 ]
[3  2  1  1  1] :	[ 511 646 568 613 455 ]
[4  2  1  1  1] :	[ 568 547 309 609 280 ]
[5  2  1  1  1] :	[ 616 490 480 580 332 ]
[1  3  1  1  1] :	[ 677 379 288 536 596 ]
[2  3  1  1  1] :	[ 546 194 560 620 675 ]
[3  3  1  1  1] :	[ 634 290 593 636 359 ]
[4  3  1  1  1] :	[ 526 474 531 562 399 ]
[5  3  1  1  1] :	[ 413 659 370 623 409 ]
[1  4  1  1  1] :	[ 516 495 480 312 726 ]
[2  4  1  1  1] :	[ 404 341 428 563 773 ]
[3  4  1  1  1] :	[ 562 452 538 449 547 ]
[4  4  1  1  1] :	[ 372 554 594 477 426 ]
[5  4  1  1  1] :	[ 467 443 547 521 532 ]
[1  5  1  1  1] :	[ 433 521 453 648 537 ]
[2  5  1  1  1] :	[ 564 346 347 556 636 ]
[3  5  1  1  1] :	[ 595 212 504 489 703 ]
[4  5  1  1  1] :	[ 502 487 460 436 599 ]
[5  5  1  1  1] :	[ 519 516 339 345 700 ]
[1  1  2  1  1] :	[ 371 510 537 516 421 ]
[2  1  2  1  1] :	[ 425 288 596 391 595 ]
[3  1  2  1  1] :	[ 698 471 405 502 387 ]
[4  1  2  1  1] :	[ 388 549 690 388 307 ]
[5  1  2  1  1] :	[ 489 451 363 506 598 ]
[1  2  2  1  1] :	[ 436 364 694 383 558 ]
[2  2  2  1  1] :	[ 610 501 362 379 343 ]
[3  2  2  1  1] :	[ 630 457 687 304 412 ]
[4  2  2  1  1] :	[ 266 454 624 407 593 ]
[5  2  2  1  1] :	[ 358 419 715 569 233 ]
[1  3  2  1  1] :	[ 390 569 428 315 628 ]
[2  3  2  1  1] :	[ 324 571 393 460 392 ]
[3  3  2  1  1] :	[ 435 413 557 619 461 ]
[4  3  2  1  1] :	[ 426 437 325 240 679 ]
[5  3  2  1  1] :	[ 585 467 522 510 474 ]
[1  4  2  1  1] :	[ 514 492 393 672 427 ]
[2  4  2  1  1] :	[ 523 533 485 390 454 ]
[3  4  2  1  1] :	[ 684 427 531 366 383 ]
[4  4  2  1  1] :	[ 587 537 305 445 485 ]
[5  4  2  1  1] :	[ 431 325 559 753 313 ]
[1  5  2  1  1] :	[ 502 471 564 426 689 ]
[2  5  2  1  1] :	[ 403 592 780 340 376 ]
[3  5  2  1  1] :	[ 343 529 498 430 597 ]
[4  5  2  1  1] :	[ 524 592 345 675 457 ]
[5  5  2  1  1] :	[ 434 532 676 363 461 ]
[1  1  3  1  1] :	[ 557 287 548 551 506 ]
[2  1  3  1  1] :	[ 770 406 530 546 463 ]
[3  1  3  1  1] :	[ 397 558 475 509 439 ]
[4  1  3  1  1] :	[ 441 415 392 567 531 ]
[5  1  3  1  1] :	[ 542 446 431 285 753 ]
[1  2  3  1  1] :	[ 524 647 531 445 414 ]
[2  2  3  1  1] :	[ 426 517 676 411 530 ]
[3  2  3  1  1] :	[ 647 369 437 509 293 ]
[4  2  3  1  1] :	[ 354 255 496 376 845 ]
[5  2  3  1  1] :	[ 402 595 313 364 874 ]
[1  3  3  1  1] :	[ 364 572 647 409 315 ]
[2  3  3  1  1] :	[ 339 458 708 434 664 ]
[3  3  3  1  1] :	[ 242 625 329 474 600 ]
[4  3  3  1  1] :	[ 523 713 332 666 432 ]
[5  3  3  1  1] :	[ 739 515 462 490 361 ]
[1  4  3  1  1] :	[ 254 414 626 812 404 ]
[2  4  3  1  1] :	[ 518 451 418 554 461 ]
[3  4  3  1  1] :	[ 451 589 202 750 737 ]
[4  4  3  1  1] :	[ 530 456 414 567 562 ]
[5  4  3  1  1] :	[ 446 413 653 472 628 ]
[1  5  3  1  1] :	[ 477 552 478 486 578 ]
[2  5  3  1  1] :	[ 588 641 453 366 467 ]
[3  5  3  1  1] :	[ 588 488 338 432 493 ]
[4  5  3  1  1] :	[ 340 677 498 512 510 ]
[5  5  3  1  1] :	[ 464 330 736 620 342 ]
[1  1  4  1  1] :	[ 424 754 576 349 213 ]
[2  1  4  1  1] :	[ 426 373 510 550 724 ]
[3  1  4  1  1] :	[ 762 454 436 383 505 ]
[4  1  4  1  1] :	[ 536 383 613 315 575 ]
[5  1  4  1  1] :	[ 531 830 555 339 436 ]
[1  2  4  1  1] :	[ 470 719 396 614 389 ]
[2  2  4  1  1] :	[ 251 490 523 810 479 ]
[3  2  4  1  1] :	[ 346 403 574 384 727 ]
[4  2  4  1  1] :	[ 367 633 577 471 466 ]
[5  2  4  1  1] :	[ 430 616 413 413 363 ]
[1  3  4  1  1] :	[ 420 404 596 578 633 ]
[2  3  4  1  1] :	[ 493 327 585 700 321 ]
[3  3  4  1  1] :	[ 540 508 521 591 516 ]
[4  3  4  1  1] :	[ 301 781 527 409 633 ]
[5  3  4  1  1] :	[ 300 494 792 252 702 ]
[1  4  4  1  1] :	[ 712 689 263 261 570 ]
[2  4  4  1  1] :	[ 559 506 386 346 577 ]
[3  4  4  1  1] :	[ 348 425 406 565 676 ]
[4  4  4  1  1] :	[ 335 453 495 448 769 ]
[5  4  4  1  1] :	[ 460 506 276 535 686 ]
